,空實櫃別,總計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,實櫃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,空櫃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,港口別,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,
,貨櫃類型別,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎
日期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110年09月,,809513,1,349053,459001,1458,84120,-,35604,48439,77,515119,1,221325,292609,1184,101855,-,47931,53835,89,108401,-,44193,64100,108,18,-,-,18,-,696351,1,303170,392314,866,66116,-,29542,36544,30,452093,1,194822,256554,716,85312,-,40734,44538,40,92812,-,38072,54660,80,18,-,-,18,-,113162,-,45883,66687,592,18004,-,6062,11895,47,63026,-,26503,36055,468,16543,-,7197,9297,49,15589,-,6121,9440,28,-,-,-,-,-
110年10月,,812367,3,356844,454429,1091,79477,-,33190,46257,30,520897,3,232007,287987,900,111642,-,52069,59490,83,100347,-,39578,60691,78,4,-,-,4,-,693343,1,308073,384599,670,63383,-,27638,35720,25,454484,1,201760,252186,537,90624,-,43219,47368,37,84848,-,35456,49321,71,4,-,-,4,-,119024,2,48771,69830,421,16094,-,5552,10537,5,66413,2,30247,35801,363,21018,-,8850,12122,46,15499,-,4122,11370,7,-,-,-,-,-
110年11月,,825072,5,353742,469485,1840,91109,-,38072,52920,117,527550,5,229629,296655,1261,104171,-,48554,55560,57,102210,-,37487,64318,405,32,-,-,32,-,701993,5,302154,399094,740,73552,-,32407,41120,25,455469,5,196475,258428,561,87448,-,40940,46477,31,85492,-,32332,53037,123,32,-,-,32,-,123079,-,51588,70391,1100,17557,-,5665,11800,92,72081,-,33154,38227,700,16723,-,7614,9083,26,16718,-,5155,11281,282,-,-,-,-,-
110年12月,,825961,-,357642,466977,1342,96076,-,39527,56482,67,516771,-,226948,288788,1035,112333,-,52365,59914,54,100661,-,38792,61683,186,120,-,10,110,-,715545,-,310848,404129,568,74846,-,32030,42803,13,460730,-,201414,258883,433,93253,-,43877,49342,34,86604,-,33517,52999,88,112,-,10,102,-,110416,-,46794,62848,774,21230,-,7497,13679,54,56041,-,25534,29905,602,19080,-,8488,10572,20,14057,-,5275,8684,98,8,-,-,8,-
111年,,9330576,27,3973026,5342681,14842,1016132,-,409748,605623,761,6046245,27,2603746,3430826,11646,1164118,-,543033,620437,648,1102695,-,415839,685069,1787,1386,-,660,726,-,7892436,19,3359350,4525892,7175,789213,-,331989,456873,351,5236065,19,2218509,3011809,5728,961843,-,454192,507304,347,904328,-,354237,549342,749,987,-,423,564,-,1438140,8,613676,816789,7667,226919,-,77759,148750,410,810180,8,385237,419017,5918,202275,-,88841,113133,301,198367,-,61602,135727,1038,399,-,237,162,-
111年01月,,806816,1,341049,464608,1158,89298,-,36855,52396,47,525823,1,224553,300301,968,100804,-,45415,55348,41,90891,-,34226,56563,102,-,-,-,-,-,685389,1,287996,396817,575,67024,-,28587,38413,24,458235,1,191335,266461,438,82225,-,37917,44282,26,77905,-,30157,47661,87,-,-,-,-,-,121427,-,53053,67791,583,22274,-,8268,13983,23,67588,-,33218,33840,530,18579,-,7498,11066,15,12986,-,4069,8902,15,-,-,-,-,-
111年02月,,690738,2,293181,396127,1428,66762,-,27879,38753,130,455207,2,194242,259874,1089,88074,-,41006,47017,51,80611,-,30034,50419,158,84,-,20,64,-,594644,2,254207,339965,470,53161,-,22512,30617,32,396191,2,168829,227016,344,75855,-,35987,39837,31,69378,-,26859,42456,63,59,-,20,39,-,96094,-,38974,56162,958,13601,-,5367,8136,98,59016,-,25413,32858,745,12219,-,5019,7180,20,11233,-,3175,7963,95,25,-,-,25,-
111年03月,,845251,-,365908,478008,1335,88343,-,36829,51437,77,551155,-,240750,309344,1061,111692,-,53164,58451,77,93880,-,35050,58710,120,181,-,115,66,-,718780,-,309305,408787,688,70930,-,30789,40112,29,480516,-,204040,275939,537,89722,-,42791,46889,42,77449,-,31588,45781,80,163,-,97,66,-,126471,-,56603,69221,647,17413,-,6040,11325,48,70639,-,36710,33405,524,21970,-,10373,11562,35,16431,-,3462,12929,40,18,-,18,-,-
111年04月,,800951,1,341801,457841,1308,83716,-,33954,49711,51,514500,1,220984,292553,962,102373,-,48813,53466,94,100319,-,38050,62068,201,43,-,-,43,-,680528,1,289057,390821,649,66565,-,28251,38287,27,446978,1,188355,258134,488,83148,-,39776,43337,35,83804,-,32675,51030,99,33,-,-,33,-,120423,-,52744,67020,659,17151,-,5703,11424,24,67522,-,32629,34419,474,19225,-,9037,10129,59,16515,-,5375,11038,102,10,-,-,10,-
111年05月,,800242,1,342963,456003,1275,87897,-,35890,51970,37,507235,1,218295,287899,1040,105306,-,49550,55693,63,99704,-,39187,60382,135,100,-,41,59,-,678808,1,292775,385360,672,68970,-,29429,39519,22,439770,1,188490,250724,555,87785,-,41825,45940,20,82194,-,32992,49127,75,89,-,39,50,-,121434,-,50188,70643,603,18927,-,6461,12451,15,67465,-,29805,37175,485,17521,-,7725,9753,43,17510,-,6195,11255,60,11,-,2,9,-
