scenario,n_rows,n_eval_rows,first_eval_ym,last_eval_ym,pressure_lead_corr,pressure_roll_lead_corr,buffer_lead_corr,buffer_next_pressure_corr,high_pressure_hit_rate,high_pressure_roll_hit_rate,high_buffer_safety_rate,mean_pressure_index,mean_buffer_index,pressure_signal_score,buffer_signal_score,classification_score,overall_score
custom_nearby_e,45,45,202503,202511,0.30795606835317463,0.3215615212508043,-0.1583073529794246,0.2595401607608394,0.9375,0.9375,0.7142857142857143,0.30769135802469133,0.2936917989417989,0.6295175896039789,-0.1012328077814148,2.5892857142857144,3.1175704961082786
custom_nearby_c,45,45,202503,202511,0.26909175654538775,0.2840813036032987,-0.16842107542968798,0.23969162514840286,0.9375,0.9375,0.7142857142857143,0.3130321869488536,0.2910824514991182,0.5531730601486864,-0.07127054971871488,2.5892857142857144,3.071188224715686
custom,45,45,202503,202511,0.274549407589398,0.2885321399595562,-0.14516282009579295,0.26569953026856513,0.9375,0.9375,0.7142857142857143,0.3140846560846561,0.29802998236331574,0.5630815475489541,-0.12053671017277218,2.5892857142857144,3.0318305516618964
custom_nearby_a,45,45,202503,202511,0.30307846648842746,0.31768464856997486,-0.10826607972413295,0.27095688791961325,0.9375,0.9375,0.6875,0.3066388888888889,0.30931569664902997,0.6207631150584023,-0.16269080819548032,2.5625,3.020572306862922
custom_nearby_b,45,45,202503,202511,0.2443567297938317,0.2576542503293863,-0.18255112064045337,0.25936242677455,0.9333333333333333,0.9333333333333333,0.6923076923076923,0.3215304232804233,0.28674426807760145,0.502010980123218,-0.07681130613409665,2.5589743589743588,2.9841740329634803
roc,45,45,202503,202511,0.2994859557262811,0.31704814344572163,-0.07181077084812383,0.2686456653084536,0.9375,0.9375,0.6666666666666666,0.3004368871252205,0.3220033774250441,0.6165340991720027,-0.19683489446032976,2.5416666666666665,2.9613658713783395
custom_nearby_d,45,45,202503,202511,0.2387362044147578,0.2530520453206868,-0.10826607972413295,0.3059277449493411,0.9333333333333333,0.9333333333333333,0.6666666666666666,0.3204779541446208,0.30931569664902997,0.4917882497354446,-0.19766166522520817,2.533333333333333,2.8274599178435698
