ym,port,history_n,scenario,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,empty_share,net_pressure_raw,export_pull,roll3_empty_net,cum_empty_net,roll3_pressure_raw,positive_net_streak,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,pressure_index,enough_history,high_pressure_cut,pressure_status
202511,基隆港,11,custom,1350,26356,87131,16632,136588.25,-25006,27706,103763,0.20284321674814632,-0.18307577701595856,0.12176742875027684,-27342.333333333332,-315314,-0.20707828638522305,0,0.009883719866093899,0,0,0,TRUE,0.44499999999999995,非高壓力港
202512,基隆港,12,custom,1272,26359,99956,18600,145851.5,-25087,27631,118556,0.18944611471256723,-0.17200371610850762,0.1275269709259075,-24800.666666666668,-340401,-0.18363829974057175,0,0.008721199302029805,0,0,0,TRUE,0.3545454545454545,非高壓力港
202501,安平港,1,custom,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,非高壓力港
202502,安平港,2,custom,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,非高壓力港
202503,安平港,3,custom,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.5,非高壓力港
202504,安平港,4,custom,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.8666666666666667,非高壓力港
202505,安平港,5,custom,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.5750000000000001,非高壓力港
202506,安平港,6,custom,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.21,非高壓力港
202507,安平港,7,custom,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.35000000000000003,非高壓力港
202508,安平港,8,custom,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.2571428571428571,非高壓力港
202509,安平港,9,custom,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.5625,非高壓力港
202510,安平港,10,custom,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.4666666666666667,非高壓力港
202511,安平港,11,custom,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.44499999999999995,非高壓力港
202512,安平港,12,custom,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.3545454545454545,非高壓力港
202501,臺中港,1,custom,11295,9012,80832,40216,129085,2283,20307,121048,0.15731494751520317,0.01768602083898206,0.3115466553046442,2283,2283,0.01768602083898206,1,0.08750048417709261,0.017686020838982065,0.017686020838982065,0,FALSE,0,非高壓力港
202502,臺中港,2,custom,6222,5935,64518,43731,108321.75,287,12157,108249,0.11223046156473654,0.00264951406342678,0.4037139355669568,1285,2570,0.01016776745120442,2,0.05743998781408166,0.0026495140634267816,0.011862806869349877,0,FALSE,1,非高壓力港
202503,臺中港,3,custom,10585,6574,83661,51097,140307.75,4011,17159,134758,0.12229545410000515,0.02858715929804305,0.3641780300803056,2193.6666666666665,6581,0.01630756473348396,3,0.07544130669902412,0.028587159298043053,0.015634679243781376,0.7,TRUE,0.5,高壓力港
202504,臺中港,4,custom,14514,8551,79471,52098,134071.5,5963,23065,131569,0.17203507083906722,0.04447626825984643,0.38858370347165505,3420.3333333333335,12544,0.02523764720710541,4,0.10825566954945683,0.04447626825984643,0.025511263268728504,1,TRUE,0.8666666666666667,高壓力港
202505,臺中港,5,custom,15646,10150,89576,52361,143425.5,5496,25796,141937,0.17985644114888916,0.03831954568748235,0.36507455089924734,5156.666666666667,18040,0.03712765774845728,5,0.10908799341818574,0.03831954568748235,0.03595362516893207,0.9,TRUE,0.5750000000000001,高壓力港
202506,臺中港,6,custom,11980,7530,81090,53586,139288.5,4450,19510,134676,0.14006899349192503,0.03194807898713821,0.384712305753885,5303,22490,0.038247964311489,6,0.08600853623953161,0.03194807898713821,0.03807205907163908,0.63,TRUE,0.21,高壓力港
202507,臺中港,7,custom,13488,6619,80136,48288,129173.25,6869,20107,128424,0.1556591631781348,0.0531766445452135,0.37382352770407185,5605,29359,0.04114808973994469,7,0.10441790386167414,0.0531766445452135,0.043391336828639056,0.8833333333333333,TRUE,0.35000000000000003,高壓力港
202508,臺中港,8,custom,13444,7876,90881,51132,139444,5568,21320,142013,0.15289291758698834,0.0399300077450446,0.366684834055248,5629,34927,0.04168491042579877,8,0.09641146266601647,0.039930007745044606,0.04036745933851582,0.7000000000000001,TRUE,0.2571428571428571,高壓力港
202509,臺中港,9,custom,11343,6864,84933,45220,126648.75,4479,18207,130153,0.14375980813075534,0.03536552867675362,0.3570505038541636,5638.666666666667,39406,0.04282406032233724,9,0.08956266840375447,0.03536552867675362,0.04452208700572779,0.625,TRUE,0.5625,高壓力港
202510,臺中港,10,custom,10016,5511,80123,45046,124361.5,4505,15527,125169,0.12485375297017164,0.03622503749150661,0.36221821061984616,4850.666666666667,43911,0.03717352463776827,10,0.08053939523083913,0.036225037491506615,0.03900456867010021,0.4666666666666667,TRUE,0.4666666666666667,高壓力港
202511,臺中港,11,custom,10475,5543,86134,43059,129488.5,4932,16018,129193,0.12370210482011916,0.03808832444580021,0.33253146032273134,4638.666666666667,48843,0.03655963020468681,11,0.08089521463295968,0.03808832444580021,0.03582300101295997,0.44499999999999995,TRUE,0.44499999999999995,高壓力港
202512,臺中港,12,custom,12988,10055,96048,53118,147130.25,2933,23043,149166,0.1566163314478158,0.01993471770760941,0.3610270491622219,4123.333333333333,51776,0.03141602654830541,12,0.08827552457771261,0.019934717707609413,0.028025054897502948,0.3545454545454545,TRUE,0.3545454545454545,高壓力港
202501,臺北港,1,custom,2741,6723,65885,51689,117935,-3982,9464,117574,0.08024759401365159,-0.03376436172467885,0.4382838003985246,-3982,-3982,-0.03376436172467885,0,0.02324161614448637,0,0,0,FALSE,0,非高壓力港
202502,臺北港,2,custom,8091,3290,62585,45740,100157.25,4801,11381,108325,0.11363131475754376,0.04793462280563813,0.4566818677629428,409.5,819,0.00708513054047963,1,0.08078296878159094,0.047934622805638136,0.004088570722538808,1,FALSE,1,非高壓力港
202503,臺北港,3,custom,3757,6981,76463,59820,131944.25,-3224,10738,136283,0.0813828567747363,-0.02443456232461816,0.45337329970802065,-801.6666666666666,-2405,-0.00342143374788629,0,0.028474147225059067,0,0,0.175,TRUE,0.5,非高壓力港
202504,臺北港,4,custom,11784,7100,74748,54160,120731.25,4684,18884,128908,0.15641352176839057,0.03879691463477765,0.4485996790391883,2087,2279,0.02076565837193254,1,0.09760521820158409,0.038796914634777656,0.017286328104778176,0.8666666666666667,TRUE,0.8666666666666667,高壓力港
202505,臺北港,5,custom,6801,8814,83855,53083,130724.75,-2013,15615,136938,0.11944945390983729,-0.01539876725715673,0.40606694600678145,-184.33333333333343,266,-3.454716489990813e-4,0,0.05202534332634027,0,0,0.175,TRUE,0.5750000000000001,非高壓力港
