ym,port,history_n,pressure_scenario,buffer_scenario,analysis_universe,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,export_pull,roll3_empty_net,cum_empty_net,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,buffer_space_raw,buffer_net_raw,buffer_export_raw,pressure_index,buffer_index,high_pressure_cut,high_buffer_cut,low_pressure_cut,status
202505,臺北港,5,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,6801,8814,83855,53083,130724.75,-2013,15615,136938,0.40606694600678145,-184.33333333333343,266,0.05202534332634027,0,0,0.9479746566736598,0.00141008748024634,0.40606694600678145,0.11,0.425,0.6924999999999999,0.41562499999999997,0.43,高緩衝港
202505,高雄港,5,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,69228,42346,390485,297912,760686.5,26882,111574,688397,0.3916357132668977,24434,114326,0.09100726777719864,0.0353391311663872,0.03212098545195688,0.9089927322228014,0,0.3916357132668977,0.64,0.4125,0.6924999999999999,0.41562499999999997,0.43,正常港
202506,基隆港,6,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,2296,30873,87276,22312,136769.5,-28577,33169,109588,0.163135786853063,-29180.333333333332,-173752,0.01678736852880211,0,0,0.983212631471198,0.21335409819684456,0.163135786853063,0.132,0.51,0.256,0.51,0.11000000000000001,正常港
202506,臺中港,6,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,11980,7530,81090,53586,139288.5,4450,19510,134676,0.384712305753885,5303,22490,0.08600853623953161,0.03194807898713821,0.03807205907163908,0.9139914637604684,0,0.384712305753885,0.628,0.36,0.256,0.51,0.11000000000000001,高壓力港
202506,臺北港,6,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,5152,7865,79202,57164,129791.5,-2713,13017,136366,0.4404294580153554,-14,-2447,0.03969443299445649,0,0,0.9603055670055436,1.0786530705015352e-4,0.4404294580153554,0.08800000000000001,0.4900000000000001,0.256,0.51,0.11000000000000001,正常港
202506,高雄港,6,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,66615,55743,388171,305025,754069,10872,122358,693196,0.4045054232437615,19578.666666666668,125198,0.08834072213550749,0.01441777874438546,0.02596402539643808,0.9116592778644924,0,0.4045054232437615,0.08,0.51,0.256,0.51,0.11000000000000001,高緩衝港
202507,基隆港,7,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,1380,30250,86974,20893,135946.75,-28870,31630,107867,0.15368517452605523,-29589,-202622,0.01015103340094559,0,0,0.9898489665990544,0.21765139659462251,0.15368517452605523,0,0.7666666666666667,0.4866666666666666,0.6854166666666667,0.20666666666666667,高緩衝港
202507,臺中港,7,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,13488,6619,80136,48288,129173.25,6869,20107,128424,0.37382352770407185,5605,29359,0.10441790386167414,0.0531766445452135,0.04339133682863905,0.8955820961383258,0,0.37382352770407185,0.9266666666666664,0.225,0.4866666666666666,0.6854166666666667,0.20666666666666667,高壓力港
202507,臺北港,7,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,4324,8554,70167,52201,123743.75,-4230,12878,122368,0.42184756805899287,-2985.3333333333335,-6677,0.03494317894843174,0,0,0.9650568210515682,0.02412512416452009,0.42184756805899287,0.07333333333333333,0.6583333333333333,0.4866666666666666,0.6854166666666667,0.20666666666666667,正常港
202507,高雄港,7,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,67092,52806,387078,292485,731295.5,14286,119898,679563,0.39995460111541775,17346.666666666668,139484,0.09174403507200578,0.01953519473318241,0.02372046138211799,0.9082559649279942,0,0.39995460111541775,0.33999999999999997,0.35,0.4866666666666666,0.6854166666666667,0.20666666666666667,正常港
