ds,yhat,yhat_lower,yhat_upper,y,port,metric,metric_label,abs_error,ape,train_end_ds,ym
2025-11-01T00:00:00Z,23685.455747779823,21831.632123110176,25522.554234811727,21831,基隆港,empty_container_count,空櫃個數,1854.4557477798226,0.08494598267508692,2025-10-01,202511
2025-12-01T00:00:00Z,26169.119440183447,24472.369075321203,27901.142756794034,24732,基隆港,empty_container_count,空櫃個數,1437.1194401834473,0.058107692066288505,2025-10-01,202512
2026-01-01T00:00:00Z,24662.450548190016,23007.75133784682,26414.18261629309,26322,基隆港,empty_container_count,空櫃個數,1659.549451809984,0.06304799984081697,2025-10-01,202601
2026-02-01T00:00:00Z,18742.081159486523,17032.336935643256,20548.24818556657,18967,基隆港,empty_container_count,空櫃個數,224.91884051347733,0.01185842993164324,2025-10-01,202602
2026-03-01T00:00:00Z,23714.866327304968,22014.542577749726,25460.39103360807,19255,基隆港,empty_container_count,空櫃個數,4459.866327304968,0.23162120629992042,2025-10-01,202603
2026-04-01T00:00:00Z,23725.373704900856,22055.631670683786,25411.94318872257,23698,基隆港,empty_container_count,空櫃個數,27.373704900855955,0.001155106122915687,2025-10-01,202604
2025-11-01T00:00:00Z,0.272588675402756,0.25778563286681033,0.2875168769638281,0.2568201870478207,基隆港,empty_share_count,空櫃占比,0.015768488354935273,0.06139894428158457,2025-10-01,202511
2025-12-01T00:00:00Z,0.28887247543712635,0.27431740360065876,0.3045134961103273,0.27329384724186706,基隆港,empty_share_count,空櫃占比,0.015578628195259292,0.05700321596143396,2025-10-01,202512
2026-01-01T00:00:00Z,0.3007761752593336,0.2856647773062086,0.3159347075565822,0.2902542840129678,基隆港,empty_share_count,空櫃占比,0.010521891246365767,0.036250597582551704,2025-10-01,202601
2026-02-01T00:00:00Z,0.2739363698462845,0.2591938168940306,0.2889491781385403,0.2867358045594727,基隆港,empty_share_count,空櫃占比,0.012799434713188174,0.04463842502282762,2025-10-01,202602
2026-03-01T00:00:00Z,0.27525782508248764,0.26043040491705033,0.2909498490107836,0.2326157340291872,基隆港,empty_share_count,空櫃占比,0.04264209105330044,0.18331559226320424,2025-10-01,202603
2026-04-01T00:00:00Z,0.2797585853662811,0.26463304703890017,0.2956655702163248,0.27188765617650096,基隆港,empty_share_count,空櫃占比,0.007870929189780163,0.02894919651913363,2025-10-01,202604
2025-11-01T00:00:00Z,64367.24027512858,60369.94243423694,68349.9775872687,63174,基隆港,full_container_count,實櫃個數,1193.2402751285772,0.018888154543460555,2025-10-01,202511
2025-12-01T00:00:00Z,66173.22455558006,62365.143274147405,69927.16773903418,65764,基隆港,full_container_count,實櫃個數,409.22455558006186,0.006222622644304815,2025-10-01,202512
2026-01-01T00:00:00Z,57692.039301346515,54022.08236987419,61799.915233168416,64364,基隆港,full_container_count,實櫃個數,6671.960698653485,0.10365982068630734,2025-10-01,202601
2026-02-01T00:00:00Z,46637.40604648133,42925.57654024304,50422.760698084836,47181,基隆港,full_container_count,實櫃個數,543.5939535186699,0.0115214589245389,2025-10-01,202602
2026-03-01T00:00:00Z,63326.67277269705,59239.10398112283,67301.70491318266,63521,基隆港,full_container_count,實櫃個數,194.32722730295063,0.0030592595724713186,2025-10-01,202603
2026-04-01T00:00:00Z,61526.490928718005,57702.10026139716,65437.500677634824,63463,基隆港,full_container_count,實櫃個數,1936.5090712819947,0.03051398564962253,2025-10-01,202604
2025-11-01T00:00:00Z,88466.14608467584,83772.60985307532,93259.16835706323,85005,基隆港,total_container_count,空實櫃總個數,3461.146084675842,0.040716970586151896,2025-10-01,202511
2025-12-01T00:00:00Z,92778.05262745633,88204.29273273678,97683.39270595077,90496,基隆港,total_container_count,空實櫃總個數,2282.052627456331,0.025217165702973953,2025-10-01,202512
2026-01-01T00:00:00Z,82705.97896650324,77943.59163003362,87354.1671921682,90686,基隆港,total_container_count,空實櫃總個數,7980.021033496756,0.08799617397940979,2025-10-01,202601
2026-02-01T00:00:00Z,65766.15446701806,61274.118875023196,70338.41432517968,66148,基隆港,total_container_count,空實櫃總個數,381.8455329819408,0.005772593774293112,2025-10-01,202602
2026-03-01T00:00:00Z,87432.24259675041,82432.69611909032,92359.26361613486,82776,基隆港,total_container_count,空實櫃總個數,4656.24259675041,0.05625111864248586,2025-10-01,202603
2026-04-01T00:00:00Z,85695.56229777269,80745.69606066466,90441.43293511817,87161,基隆港,total_container_count,空實櫃總個數,1465.437702227311,0.0168129978112609,2025-10-01,202604
2025-11-01T00:00:00Z,12971.199258725734,11314.096857135039,14578.78608554024,12418,臺中港,empty_container_count,空櫃個數,553.1992587257337,0.04454817673745641,2025-10-01,202511
2025-12-01T00:00:00Z,13207.779989438166,11552.251098345185,14999.244375601687,15389,臺中港,empty_container_count,空櫃個數,2181.220010561834,0.14173890509856613,2025-10-01,202512
2026-01-01T00:00:00Z,12264.182086347764,10608.476914698802,14185.241932135821,12292,臺中港,empty_container_count,空櫃個數,27.817913652235802,0.0022630909251737555,2025-10-01,202601
2026-02-01T00:00:00Z,8645.04373959513,6859.724036244659,10295.204861542876,10440,臺中港,empty_container_count,空櫃個數,1794.9562604048697,0.17193067628399133,2025-10-01,202602
2026-03-01T00:00:00Z,13013.723684208082,11393.027632619182,14816.002972218586,13059,臺中港,empty_container_count,空櫃個數,45.27631579191802,0.003467058411204382,2025-10-01,202603
2026-04-01T00:00:00Z,11613.70304359069,9763.465775422073,13385.952982746137,11314,臺中港,empty_container_count,空櫃個數,299.70304359069087,0.02648957429650794,2025-10-01,202604
2025-11-01T00:00:00Z,0.1548208691726077,0.1390444328915519,0.17117079753851533,0.1484359124541293,臺中港,empty_share_count,空櫃占比,0.006384956718478413,0.04301490530771344,2025-10-01,202511
2025-12-01T00:00:00Z,0.1504459467753359,0.134071089763399,0.165569775674747,0.16410032203715158,臺中港,empty_share_count,空櫃占比,0.013654375261815677,0.08320748608113265,2025-10-01,202512
2026-01-01T00:00:00Z,0.15612282317718387,0.13896562201358806,0.1722200390971072,0.14284386185097384,臺中港,empty_share_count,空櫃占比,0.013278961326210037,0.0929613716273207,2025-10-01,202601
