ym,ds,port,empty_container_count,total_container_count,pred_empty_share,pred_load_ratio_vs_q75,pred_empty_share_ratio_vs_q75,proxy_risk_score,proxy_risk_level,is_validation,actual_empty_share,actual_risk_level
202501,2025-01-01T00:00:00Z,基隆港,23577.869132667412,84133.00828670867,0.28274337316551573,0.9481004106076695,1.1465942267850913,1.0572720095052515,watch,TRUE,0.2932954246565048,high
202501,2025-01-01T00:00:00Z,高雄港,72603.8658463316,480727.8579578572,0.15015436771830132,0.9134888719918579,1.0714773861718665,1.0003825547908627,watch,TRUE,0.15796171490412173,high
202501,2025-01-01T00:00:00Z,臺中港,13516.85546065544,81361.86686985425,0.17224305876454554,0.791284659192825,0.991671670799849,0.9014975155766882,normal,TRUE,0.16206660304876558,normal
202501,2025-01-01T00:00:00Z,臺北港,8227.958525978402,66935.5208097189,0.12448316089451875,0.6825036407359675,0.7534041536400635,0.7214989228332203,normal,TRUE,0.12740732720702674,normal
202502,2025-02-01T00:00:00Z,高雄港,69062.84256388931,418154.80091519374,0.1602960035441528,0.7945862738819816,1.1438464661481254,0.9866793796283607,watch,TRUE,0.1839770798938611,high
202502,2025-02-01T00:00:00Z,基隆港,19118.721660830164,66693.17749875682,0.26995170947081504,0.7515698090316697,1.094720870465138,0.9403028928200774,normal,TRUE,0.24189836125943656,watch
202502,2025-02-01T00:00:00Z,臺中港,7227.0928064840045,63874.64674958495,0.13881014572767633,0.6212127379667383,0.7991851173863964,0.7190975466475503,normal,TRUE,0.13033637040857257,normal
202502,2025-02-01T00:00:00Z,臺北港,5174.521389899426,58935.80595239498,0.10944415485874828,0.6009350737191492,0.6623842154207219,0.6347321016550143,normal,TRUE,0.15393960707834456,normal
202503,2025-03-01T00:00:00Z,高雄港,74140.49959133961,513720.62606692367,0.14438033505782594,0.9761824022812595,1.0302748189956399,1.0059332314741687,watch,TRUE,0.16606356183078946,high
202503,2025-03-01T00:00:00Z,基隆港,21083.62468892112,86845.44705957692,0.2454213669550934,0.9786670617553477,0.9952442716161799,0.9877845271788055,watch,TRUE,0.26535049268857175,watch
202503,2025-03-01T00:00:00Z,臺中港,13410.333150134702,89692.57650352057,0.15718656696118788,0.8723049576067551,0.9049854699734309,0.8902792394084268,normal,TRUE,0.1355835491375148,normal
202503,2025-03-01T00:00:00Z,臺北港,7862.717650205688,73304.56318056643,0.11692263014022816,0.7474451628683225,0.7076458741018968,0.7255555540467884,normal,TRUE,0.1312514474470082,normal
202504,2025-04-01T00:00:00Z,基隆港,22463.298084011527,86856.68159928433,0.26093836424544764,0.9787936645231138,1.0581695289297968,1.0224503899467896,watch,TRUE,0.2692289967279598,watch
202504,2025-04-01T00:00:00Z,高雄港,70074.69261137469,481154.46610661194,0.14463547790160844,0.9142995214895675,1.032095477238958,0.9790872971517323,watch,TRUE,0.17239962129362654,high
202504,2025-04-01T00:00:00Z,臺中港,11370.451994624866,81910.87394364357,0.14952280998100415,0.7966240262942796,0.8608621784825857,0.8319550099978481,normal,TRUE,0.16327474026049071,normal
202504,2025-04-01T00:00:00Z,臺北港,8543.397625546124,72813.27333819741,0.1249325814975316,0.7424357582649483,0.7561241628895733,0.7499643808084921,normal,TRUE,0.1513781900120526,normal
