20呎標準貨櫃,來源洲,年月,目的洲,目的港,臺灣港
800,未知,2025/07,亞洲,CNSWA,TWKEL
1820,未知,2025/07,亞洲,CNTAC,TWKEL
941,未知,2025/07,亞洲,CNTCA,TWKEL
2,未知,2025/07,亞洲,CNTSN,TWKEL
158,未知,2025/07,亞洲,CNTXG,TWKEL
466,未知,2025/07,亞洲,CNWNZ,TWKEL
349,未知,2025/07,亞洲,CNXMN,TWKEL
9688,未知,2025/07,亞洲,HKHKG,TWKEL
1,未知,2025/07,亞洲,IDBLW,TWKEL
28,未知,2025/07,亞洲,JPMYJ,TWKEL
5,未知,2025/07,亞洲,JPOIT,TWKEL
3,未知,2025/07,亞洲,JPYAT,TWKEL
200,未知,2025/07,大洋洲,NZNPE,TWKEL
940,未知,2025/07,大洋洲,NZTRG,TWKEL
43,未知,2025/07,未知,VMHPH,TWKEL
64,未知,2025/07,亞洲,VNCLI,TWKEL
54,未知,2025/07,亞洲,VNCLP,TWKEL
10,未知,2025/07,亞洲,VNHCM,TWKEL
150,未知,2025/07,大洋洲,AUBNE,TWKHH
320,未知,2025/07,大洋洲,AUMEL,TWKHH
12,未知,2025/07,北美洲,CAHAL,TWKHH
189,未知,2025/07,亞洲,CNDLC,TWKHH
2585,未知,2025/07,亞洲,CNFOC,TWKHH
9,未知,2025/07,亞洲,CNGCT,TWKHH
19,未知,2025/07,亞洲,CNHMN,TWKHH
104,未知,2025/07,亞洲,CNHMP,TWKHH
154,未知,2025/07,亞洲,CNHSK,TWKHH
2,未知,2025/07,亞洲,CNHUA,TWKHH
178,未知,2025/07,亞洲,CNJIA,TWKHH
121,未知,2025/07,亞洲,CNJYN,TWKHH
442,未知,2025/07,亞洲,CNLYG,TWKHH
23,未知,2025/07,亞洲,CNMAW,TWKHH
1199,未知,2025/07,亞洲,CNNGB,TWKHH
52,未知,2025/07,亞洲,CNNSA,TWKHH
150,未知,2025/07,亞洲,CNNSS,TWKHH
1975,未知,2025/07,亞洲,CNRZH,TWKHH
1815,未知,2025/07,亞洲,CNSHG,TWKHH
329,未知,2025/07,亞洲,CNSHK,TWKHH
1062,未知,2025/07,亞洲,CNSHK,TWKHH
182,未知,2025/07,亞洲,CNSWA,TWKHH
200,未知,2025/07,亞洲,CNTAC,TWKHH
60,未知,2025/07,亞洲,CNTAO,TWKHH
120,未知,2025/07,亞洲,CNTCA,TWKHH
110,未知,2025/07,亞洲,CNTXG,TWKHH
27,未知,2025/07,亞洲,CNXGA,TWKHH
3525,未知,2025/07,亞洲,CNXMN,TWKHH
1271,未知,2025/07,亞洲,CNYJG,TWKHH
260,未知,2025/07,南美洲,ECGYE,TWKHH
6021,未知,2025/07,亞洲,HKHKG,TWKHH
9,未知,2025/07,亞洲,HKHKM,TWKHH
8,未知,2025/07,亞洲,JPHKT,TWKHH
2,未知,2025/07,亞洲,JPMIZ,TWKHH
96,未知,2025/07,亞洲,JPMOJ,TWKHH
1,未知,2025/07,亞洲,JPMYJ,TWKHH
19,未知,2025/07,亞洲,JPNGO,TWKHH
4,未知,2025/07,亞洲,JPOIT,TWKHH
3,未知,2025/07,亞洲,JPOSA,TWKHH
58,未知,2025/07,亞洲,JPTKY,TWKHH
13,未知,2025/07,亞洲,JPUKB,TWKHH
2,未知,2025/07,亞洲,JPYAT,TWKHH
54,未知,2025/07,亞洲,JPYOK,TWKHH
49,未知,2025/07,亞洲,KRBNP,TWKHH
680,未知,2025/07,亞洲,KRINC,TWKHH
2,未知,2025/07,亞洲,KRKAN,TWKHH
22,未知,2025/07,亞洲,KRKWY,TWKHH
1444,未知,2025/07,亞洲,KRPUS,TWKHH
4,未知,2025/07,亞洲,KRUSN,TWKHH
160,未知,2025/07,亞洲,MYPKG,TWKHH
472,未知,2025/07,亞洲,MYTPP,TWKHH
4,未知,2025/07,歐洲,NLRTM,TWKHH
160,未知,2025/07,大洋洲,NZLYT,TWKHH
160,未知,2025/07,大洋洲,NZNPE,TWKHH
402,未知,2025/07,大洋洲,NZTRG,TWKHH
76,未知,2025/07,大洋洲,NZWLG,TWKHH
120,未知,2025/07,南美洲,PECLL,TWKHH
242,未知,2025/07,亞洲,PHDVO,TWKHH
120,未知,2025/07,亞洲,PHGTC,TWKHH
122,未知,2025/07,亞洲,SGSIN,TWKHH
362,未知,2025/07,亞洲,THLCH,TWKHH
1042,未知,2025/07,亞洲,VNCLI,TWKHH
280,未知,2025/07,亞洲,VNCLP,TWKHH
111,未知,2025/07,亞洲,VNDAD,TWKHH
217,未知,2025/07,亞洲,VNHPH,TWKHH
14,未知,2025/07,亞洲,VNSGN,TWKHH
2535,未知,2025/07,亞洲,VNVUT,TWKHH
24,未知,2025/07,南美洲,CLVAL,TWKHH
560,未知,2025/07,亞洲,CNDLI,TWKHH
10,未知,2025/07,亞洲,CNFQJ,TWKHH
1187,未知,2025/07,亞洲,CNFZU,TWKHH
96,未知,2025/07,亞洲,CNJYN,TWKHH
860,未知,2025/07,亞洲,CNNBO,TWKHH
500,未知,2025/07,亞洲,CNQND,TWKHH
173,未知,2025/07,亞洲,CNSHG,TWKHH
140,未知,2025/07,亞洲,CNSHG,TWKHH
986,未知,2025/07,亞洲,CNXGA,TWKHH
2526,未知,2025/07,亞洲,CNXHK,TWKHH
1459,未知,2025/07,亞洲,CNXSM,TWKHH
3134,未知,2025/07,亞洲,CNXTH,TWKHH
50,未知,2025/07,亞洲,CNYJG,TWKHH
5029,未知,2025/07,亞洲,HKHKG,TWKHH
74,未知,2025/07,亞洲,IDDKT,TWKHH
11,未知,2025/07,亞洲,IDSUB,TWKHH
24,未知,2025/07,亞洲,JPKBE,TWKHH
1940,未知,2025/07,亞洲,KRICH,TWKHH
78,未知,2025/07,亞洲,KRKPQ,TWKHH
1210,未知,2025/07,亞洲,KRPUS,TWKHH
6,未知,2025/07,亞洲,MYPEN,TWKHH
400,未知,2025/07,南美洲,PECAL,TWKHH
6,未知,2025/07,亞洲,SGSGP,TWKHH
2,未知,2025/07,亞洲,THLCH,TWKHH
10,未知,2025/07,北美洲,USNFK,TWKHH
312,未知,2025/07,北美洲,USTCM,TWKHH
30,未知,2025/07,亞洲,VNDNG,TWKHH
154,未知,2025/07,亞洲,VNHCM,TWKHH
80,未知,2025/07,亞洲,VNHPG,TWKHH
276,未知,2025/07,亞洲,CNXIA,TWTXG
12,未知,2025/07,亞洲,CNDLC,TWTXG
214,未知,2025/07,亞洲,CNNGB,TWTXG
72,未知,2025/07,亞洲,CNSHG,TWTXG
77,未知,2025/07,亞洲,CNTSN,TWTXG
30,未知,2025/07,亞洲,CNXMN,TWTXG
146,未知,2025/07,亞洲,CNNBO,TWTPE
1347,未知,2025/07,亞洲,CNNGB,TWTPE
1200,未知,2025/07,亞洲,CNNSS,TWTPE
1196,未知,2025/07,亞洲,CNSHG,TWTPE
1839,未知,2025/07,亞洲,CNSHK,TWTPE
562,未知,2025/07,亞洲,CNXMN,TWTPE
132,未知,2025/07,亞洲,CNXSM,TWTPE
208,未知,2025/07,亞洲,HKHKG,TWTPE
99,未知,2025/07,亞洲,JPHKT,TWTPE
52,未知,2025/07,亞洲,JPMOJ,TWTPE
12,未知,2025/07,亞洲,JPNGO,TWTPE
8,未知,2025/07,亞洲,JPOSA,TWTPE
68,未知,2025/07,亞洲,JPTKY,TWTPE
5,未知,2025/07,亞洲,JPTYO,TWTPE
35,未知,2025/07,亞洲,JPUKB,TWTPE
2,未知,2025/07,亞洲,JPYKK,TWTPE
39,未知,2025/07,亞洲,JPYOK,TWTPE
273,未知,2025/07,亞洲,KRINC,TWTPE
20,未知,2025/07,亞洲,KRKAN,TWTPE
658,未知,2025/07,亞洲,KRPUS,TWTPE
9,未知,2025/07,亞洲,KRUSN,TWTPE
4,未知,2025/07,亞洲,SGSIN,TWTPE
202,未知,2025/07,亞洲,VNCLI,TWTPE
10,未知,2025/07,亞洲,VNSGN,TWTPE
328,未知,2025/07,亞洲,VNTCT,TWTPE
100,未知,2025/07,亞洲,VNVUT,TWTPE
72,未知,2025/07,亞洲,CNDLC,TWTXG
560,未知,2025/07,亞洲,CNGCT,TWTXG
4,未知,2025/07,亞洲,CNHMN,TWTXG
174,未知,2025/07,亞洲,CNHMP,TWTXG
32,未知,2025/07,亞洲,CNHSK,TWTXG
80,未知,2025/07,亞洲,CNJGY,TWTXG
38,未知,2025/07,亞洲,CNLYG,TWTXG
1137,未知,2025/07,亞洲,CNNGB,TWTXG
8,未知,2025/07,亞洲,CNNSA,TWTXG
34,未知,2025/07,亞洲,CNRZH,TWTXG
764,未知,2025/07,亞洲,CNSHG,TWTXG
94,未知,2025/07,亞洲,CNSHK,TWTXG
100,未知,2025/07,亞洲,CNSWA,TWTXG
500,未知,2025/07,亞洲,CNTAC,TWTXG
2,未知,2025/07,亞洲,CNTAO,TWTXG
129,未知,2025/07,亞洲,CNTXG,TWTXG
424,未知,2025/07,亞洲,CNWNZ,TWTXG
368,未知,2025/07,亞洲,CNXIA,TWTXG
274,未知,2025/07,亞洲,CNXMN,TWTXG
574,未知,2025/07,亞洲,HKHKG,TWTXG
12,未知,2025/07,亞洲,JPMOJ,TWTXG
8,未知,2025/07,亞洲,JPMYJ,TWTXG
9,未知,2025/07,亞洲,JPNGO,TWTXG
50,未知,2025/07,亞洲,JPOIT,TWTXG
10,未知,2025/07,亞洲,JPOSA,TWTXG
20,未知,2025/07,亞洲,JPSBS,TWTXG
106,未知,2025/07,亞洲,JPTYO,TWTXG
2,未知,2025/07,亞洲,JPYAT,TWTXG
29,未知,2025/07,亞洲,JPYKK,TWTXG
28,未知,2025/07,亞洲,JPYOK,TWTXG
20,未知,2025/07,亞洲,KRKAN,TWTXG
70,未知,2025/07,亞洲,KRKWY,TWTXG
39,未知,2025/07,亞洲,KRPUS,TWTXG
7,未知,2025/07,亞洲,KRUSN,TWTXG
144,未知,2025/07,亞洲,MYTPP,TWTXG
16,未知,2025/07,亞洲,THLCH,TWTXG
200,未知,2025/08,亞洲,CNRZH,TWKHH
170,未知,2025/08,亞洲,CNSHG,TWKHH
60,未知,2025/08,亞洲,CNXGG,TWKHH
120,未知,2025/08,歐洲,CHSHA,TWKEL
239,未知,2025/08,亞洲,CNDLC,TWKEL
306,未知,2025/08,亞洲,CNGCT,TWKEL
18,未知,2025/08,亞洲,CNHMN,TWKEL
100,未知,2025/08,亞洲,CNHMP,TWKEL
300,未知,2025/08,亞洲,CNJGY,TWKEL
603,未知,2025/08,亞洲,CNNBO,TWKEL
2421,未知,2025/08,亞洲,CNNGB,TWKEL
589,未知,2025/08,亞洲,CNNSA,TWKEL
884,未知,2025/08,亞洲,CNNSS,TWKEL
64,未知,2025/08,亞洲,CNRZH,TWKEL
2667,未知,2025/08,亞洲,CNSHG,TWKEL
328,未知,2025/08,亞洲,CNSHG,TWKEL
1157,未知,2025/08,亞洲,CNSHK,TWKEL
2524,未知,2025/08,亞洲,CNSHK,TWKEL
828,未知,2025/08,亞洲,CNSWA,TWKEL
1204,未知,2025/08,亞洲,CNTAC,TWKEL
1376,未知,2025/08,亞洲,CNTCA,TWKEL
1960,未知,2025/08,亞洲,CNWNZ,TWKEL
1151,未知,2025/08,亞洲,CNXMN,TWKEL
11092,未知,2025/08,亞洲,HKHKG,TWKEL
1,未知,2025/08,亞洲,IDBLW,TWKEL
14,未知,2025/08,亞洲,JPMYJ,TWKEL
70,未知,2025/08,亞洲,JPOIT,TWKEL
430,未知,2025/08,亞洲,KRPUS,TWKEL
24,未知,2025/08,亞洲,MYPKG,TWKEL
8,未知,2025/08,大洋洲,NZAKL,TWKEL
200,未知,2025/08,大洋洲,NZLYT,TWKEL
230,未知,2025/08,大洋洲,NZNPE,TWKEL
526,未知,2025/08,大洋洲,NZTRG,TWKEL
150,未知,2025/08,亞洲,THLCH,TWKEL
56,未知,2025/08,亞洲,VNCLI,TWKEL
160,未知,2025/08,亞洲,VNCLP,TWKEL
286,未知,2025/08,亞洲,VNHPH,TWKEL
70,未知,2025/08,亞洲,VNSGN,TWKEL
248,未知,2025/08,大洋洲,AUBNE,TWKHH
424,未知,2025/08,大洋洲,AUMEL,TWKHH
1511,未知,2025/08,亞洲,CNDLC,TWKHH
180,未知,2025/08,亞洲,CNDLI,TWKHH
1995,未知,2025/08,亞洲,CNFOC,TWKHH
17,未知,2025/08,亞洲,CNGCT,TWKHH
40,未知,2025/08,亞洲,CNHMN,TWKHH
88,未知,2025/08,亞洲,CNHMP,TWKHH
366,未知,2025/08,亞洲,CNHSK,TWKHH
3,未知,2025/08,亞洲,CNHUA,TWKHH
181,未知,2025/08,亞洲,CNJIA,TWKHH
17,未知,2025/08,亞洲,CNJYN,TWKHH
82,未知,2025/08,亞洲,CNLYG,TWKHH
36,未知,2025/08,亞洲,CNMAW,TWKHH
1180,未知,2025/08,亞洲,CNNGB,TWKHH
744,未知,2025/08,亞洲,CNNSA,TWKHH
270,未知,2025/08,亞洲,CNNSS,TWKHH
3,未知,2025/08,亞洲,CNQZH,TWKHH
947,未知,2025/08,亞洲,CNRZH,TWKHH
2346,未知,2025/08,亞洲,CNSHG,TWKHH
588,未知,2025/08,亞洲,CNSHK,TWKHH
1086,未知,2025/08,亞洲,CNSHK,TWKHH
192,未知,2025/08,亞洲,CNSWA,TWKHH
300,未知,2025/08,亞洲,CNTAC,TWKHH
6,未知,2025/08,亞洲,CNTAO,TWKHH
231,未知,2025/08,亞洲,CNTCA,TWKHH
160,未知,2025/08,亞洲,CNTXG,TWKHH
251,未知,2025/08,亞洲,CNXGA,TWKHH
2717,未知,2025/08,亞洲,CNXMN,TWKHH
172,未知,2025/08,亞洲,CNYJG,TWKHH
8232,未知,2025/08,亞洲,HKHKG,TWKHH
2,未知,2025/08,亞洲,IDBLW,TWKHH
2,未知,2025/08,亞洲,JPFKY,TWKHH
37,未知,2025/08,亞洲,JPHKT,TWKHH
68,未知,2025/08,亞洲,JPMOJ,TWKHH
14,未知,2025/08,亞洲,JPMYJ,TWKHH
21,未知,2025/08,亞洲,JPNGO,TWKHH
4,未知,2025/08,亞洲,JPOIT,TWKHH
1,未知,2025/08,亞洲,JPOSA,TWKHH
1,未知,2025/08,亞洲,JPSMZ,TWKHH
93,未知,2025/08,亞洲,JPTKY,TWKHH
7,未知,2025/08,亞洲,JPUKB,TWKHH
16,未知,2025/08,亞洲,JPYKK,TWKHH
60,未知,2025/08,亞洲,JPYOK,TWKHH
308,未知,2025/08,亞洲,KRBNP,TWKHH
1264,未知,2025/08,亞洲,KRINC,TWKHH
26,未知,2025/08,亞洲,KRKWY,TWKHH
616,未知,2025/08,亞洲,KRPUS,TWKHH
10,未知,2025/08,亞洲,KRUSN,TWKHH
14,未知,2025/08,亞洲,MYPKG,TWKHH
62,未知,2025/08,亞洲,MYTPP,TWKHH
4,未知,2025/08,大洋洲,NZAKL,TWKHH
181,未知,2025/08,大洋洲,NZLYT,TWKHH
68,未知,2025/08,大洋洲,NZNPE,TWKHH
236,未知,2025/08,大洋洲,NZTRG,TWKHH
140,未知,2025/08,亞洲,PHGTC,TWKHH
431,未知,2025/08,亞洲,SGSIN,TWKHH
470,未知,2025/08,亞洲,THLCB,TWKHH
384,未知,2025/08,亞洲,THLCH,TWKHH
8,未知,2025/08,北美洲,USHOU,TWKHH
7,未知,2025/08,北美洲,USMKC,TWKHH
2,未知,2025/08,北美洲,USNYC,TWKHH
40,未知,2025/08,北美洲,USSEA,TWKHH
699,未知,2025/08,亞洲,VNCLI,TWKHH
620,未知,2025/08,亞洲,VNCLP,TWKHH
100,未知,2025/08,亞洲,VNDAD,TWKHH
40,未知,2025/08,亞洲,VNHPH,TWKHH
2888,未知,2025/08,亞洲,VNVUT,TWKHH
182,未知,2025/08,亞洲,CNJGY,TWKEL
17,未知,2025/08,亞洲,CNNGB,TWKEL
170,未知,2025/08,亞洲,CNSHG,TWKEL
560,未知,2025/08,亞洲,CNWNZ,TWKEL
10,未知,2025/08,亞洲,JPOIT,TWKEL
270,未知,2025/08,亞洲,CNDLI,TWKHH
2508,未知,2025/08,亞洲,CNFZU,TWKHH
600,未知,2025/08,亞洲,CNNBO,TWKHH
64,未知,2025/08,亞洲,CNQND,TWKHH
876,未知,2025/08,亞洲,CNRZH,TWKHH
2,未知,2025/08,亞洲,CNSHG,TWKHH
54,未知,2025/08,亞洲,CNSHG,TWKHH
1007,未知,2025/08,亞洲,CNXGA,TWKHH
5050,未知,2025/08,亞洲,CNXHK,TWKHH
858,未知,2025/08,亞洲,CNXSM,TWKHH
940,未知,2025/08,亞洲,CNXTH,TWKHH
927,未知,2025/08,亞洲,CNYJG,TWKHH
3818,未知,2025/08,亞洲,HKHKG,TWKHH
36,未知,2025/08,亞洲,IDDKT,TWKHH
164,未知,2025/08,亞洲,IDSUB,TWKHH
14,未知,2025/08,亞洲,JPKBE,TWKHH
12,未知,2025/08,亞洲,JPNGY,TWKHH
1910,未知,2025/08,亞洲,KRICH,TWKHH
69,未知,2025/08,亞洲,KRKPQ,TWKHH
2374,未知,2025/08,亞洲,KRPUS,TWKHH
400,未知,2025/08,北美洲,MXMZO,TWKHH
100,未知,2025/08,南美洲,PECAL,TWKHH
80,未知,2025/08,亞洲,PHGTC,TWKHH
472,未知,2025/08,亞洲,SGSGP,TWKHH
200,未知,2025/08,亞洲,THLCH,TWKHH
14,未知,2025/08,北美洲,USLAX,TWKHH
2,未知,2025/08,北美洲,USNYC,TWKHH
292,未知,2025/08,亞洲,VNDNG,TWKHH
715,未知,2025/08,亞洲,VNHCM,TWKHH
40,未知,2025/08,亞洲,VNHPG,TWKHH
20,未知,2025/08,亞洲,CNSHG,TWTXG
40,未知,2025/08,亞洲,CNWNZ,TWTXG
51,未知,2025/08,亞洲,CNDLC,TWTXG
168,未知,2025/08,亞洲,CNJGY,TWTXG
96,未知,2025/08,亞洲,CNSHG,TWTXG
40,未知,2025/08,亞洲,CNTCA,TWTXG
26,未知,2025/08,亞洲,CNTSN,TWTXG
10,未知,2025/08,亞洲,CNXMN,TWTXG
60,未知,2025/08,亞洲,CNFOC,TWTPE
100,未知,2025/08,亞洲,CNMAW,TWTPE
83,未知,2025/08,亞洲,CNNBO,TWTPE
1237,未知,2025/08,亞洲,CNNGB,TWTPE
1170,未知,2025/08,亞洲,CNNSS,TWTPE
1274,未知,2025/08,亞洲,CNSHG,TWTPE
1850,未知,2025/08,亞洲,CNSHK,TWTPE
160,未知,2025/08,亞洲,CNXHT,TWTPE
174,未知,2025/08,亞洲,CNXMN,TWTPE
84,未知,2025/08,亞洲,HKHKG,TWTPE
100,未知,2025/08,亞洲,JPCHB,TWTPE
67,未知,2025/08,亞洲,JPHKT,TWTPE
27,未知,2025/08,亞洲,JPMOJ,TWTPE
5,未知,2025/08,亞洲,JPNGO,TWTPE
3,未知,2025/08,亞洲,JPSMZ,TWTPE
29,未知,2025/08,亞洲,JPTKY,TWTPE
4,未知,2025/08,亞洲,JPUKB,TWTPE
10,未知,2025/08,亞洲,JPYKK,TWTPE
52,未知,2025/08,亞洲,JPYOK,TWTPE
105,未知,2025/08,亞洲,KRPUS,TWTPE
16,未知,2025/08,亞洲,KRUSN,TWTPE
20,未知,2025/08,亞洲,THLCH,TWTPE
19,未知,2025/08,亞洲,VNCLI,TWTPE
92,未知,2025/08,亞洲,VNDAD,TWTPE
10,未知,2025/08,亞洲,VNSGN,TWTPE
200,未知,2025/08,亞洲,VNTCT,TWTPE
30,未知,2025/08,亞洲,CNDLC,TWTXG
238,未知,2025/08,亞洲,CNGCT,TWTXG
48,未知,2025/08,亞洲,CNHMN,TWTXG
182,未知,2025/08,亞洲,CNHMP,TWTXG
20,未知,2025/08,亞洲,CNHSK,TWTXG
141,未知,2025/08,亞洲,CNJGY,TWTXG
36,未知,2025/08,亞洲,CNLYG,TWTXG
60,未知,2025/08,亞洲,CNNBO,TWTXG
1457,未知,2025/08,亞洲,CNNGB,TWTXG
4,未知,2025/08,亞洲,CNNSA,TWTXG
160,未知,2025/08,亞洲,CNRZH,TWTXG
2012,未知,2025/08,亞洲,CNSHG,TWTXG
80,未知,2025/08,亞洲,CNSHG,TWTXG
96,未知,2025/08,亞洲,CNSHK,TWTXG
2,未知,2025/08,亞洲,CNSWA,TWTXG
470,未知,2025/08,亞洲,CNTAC,TWTXG
20,未知,2025/08,亞洲,CNTSN,TWTXG
110,未知,2025/08,亞洲,CNTXG,TWTXG
140,未知,2025/08,亞洲,CNWNZ,TWTXG
635,未知,2025/08,亞洲,CNXIA,TWTXG
840,未知,2025/08,亞洲,CNXMN,TWTXG
120,未知,2025/08,亞洲,HKHKG,TWTXG
8,未知,2025/08,亞洲,JPKSM,TWTXG
16,未知,2025/08,亞洲,JPMOJ,TWTXG
12,未知,2025/08,亞洲,JPMYJ,TWTXG
6,未知,2025/08,亞洲,JPNGO,TWTXG
56,未知,2025/08,亞洲,JPOIT,TWTXG
32,未知,2025/08,亞洲,JPOSA,TWTXG
20,未知,2025/08,亞洲,JPSBS,TWTXG
2,未知,2025/08,亞洲,JPSMZ,TWTXG
107,未知,2025/08,亞洲,JPTYO,TWTXG
29,未知,2025/08,亞洲,JPYKK,TWTXG
12,未知,2025/08,亞洲,JPYOK,TWTXG
20,未知,2025/08,亞洲,KRKWY,TWTXG
74,未知,2025/08,亞洲,KRPUS,TWTXG
9,未知,2025/08,亞洲,KRUSN,TWTXG
120,未知,2025/08,亞洲,MYTPP,TWTXG
1,未知,2025/08,亞洲,VNCLI,TWTXG
306,未知,2025/09,亞洲,CNFOC,TWKHH
317,未知,2025/09,亞洲,CNSHG,TWKHH
40,未知,2025/09,亞洲,VNCLI,TWKHH
8,未知,2025/09,亞洲,VNHPH,TWKHH
809,未知,2025/09,亞洲,CNDLC,TWKEL
46,未知,2025/09,亞洲,CNHMP,TWKEL
618,未知,2025/09,亞洲,CNHSK,TWKEL
500,未知,2025/09,亞洲,CNJGY,TWKEL
100,未知,2025/09,亞洲,CNLYG,TWKEL
924,未知,2025/09,亞洲,CNNBO,TWKEL
2376,未知,2025/09,亞洲,CNNGB,TWKEL
6,未知,2025/09,亞洲,CNNIN,TWKEL
750,未知,2025/09,亞洲,CNNSA,TWKEL
1100,未知,2025/09,亞洲,CNNSS,TWKEL
494,未知,2025/09,亞洲,CNRZH,TWKEL
4312,未知,2025/09,亞洲,CNSHG,TWKEL
241,未知,2025/09,亞洲,CNSHG,TWKEL
854,未知,2025/09,亞洲,CNSHK,TWKEL
3138,未知,2025/09,亞洲,CNSHK,TWKEL
30,未知,2025/09,亞洲,CNSWA,TWKEL
2455,未知,2025/09,亞洲,CNTAC,TWKEL
596,未知,2025/09,亞洲,CNTCA,TWKEL
112,未知,2025/09,亞洲,CNTXG,TWKEL
1920,未知,2025/09,亞洲,CNWNZ,TWKEL
1011,未知,2025/09,亞洲,CNXMN,TWKEL
1056,未知,2025/09,亞洲,CNXNG,TWKEL
9009,未知,2025/09,亞洲,HKHKG,TWKEL
2,未知,2025/09,亞洲,JPMYJ,TWKEL
70,未知,2025/09,亞洲,JPOIT,TWKEL
2,未知,2025/09,亞洲,JPYAT,TWKEL
96,未知,2025/09,亞洲,KRPUS,TWKEL
571,未知,2025/09,大洋洲,NZLYT,TWKEL
300,未知,2025/09,大洋洲,NZNPE,TWKEL
540,未知,2025/09,大洋洲,NZTRG,TWKEL
96,未知,2025/09,大洋洲,NZWLG,TWKEL
168,未知,2025/09,亞洲,THLCH,TWKEL
222,未知,2025/09,亞洲,VNCLI,TWKEL
230,未知,2025/09,亞洲,VNCLP,TWKEL
1,未知,2025/09,亞洲,VNDAD,TWKEL
150,未知,2025/09,亞洲,VNHPH,TWKEL
64,未知,2025/09,亞洲,VNSGN,TWKEL
142,未知,2025/09,大洋洲,AUMEL,TWKHH
1182,未知,2025/09,亞洲,CNDLC,TWKHH
2019,未知,2025/09,亞洲,CNFOC,TWKHH
10,未知,2025/09,亞洲,CNFUG,TWKHH
40,未知,2025/09,亞洲,CNHMP,TWKHH
443,未知,2025/09,亞洲,CNHSK,TWKHH
241,未知,2025/09,亞洲,CNJIA,TWKHH
706,未知,2025/09,亞洲,CNJYN,TWKHH
40,未知,2025/09,亞洲,CNLYG,TWKHH
230,未知,2025/09,亞洲,CNMAW,TWKHH
1655,未知,2025/09,亞洲,CNNGB,TWKHH
91,未知,2025/09,亞洲,CNNSA,TWKHH
100,未知,2025/09,亞洲,CNNSS,TWKHH
436,未知,2025/09,亞洲,CNRZH,TWKHH
1573,未知,2025/09,亞洲,CNSHG,TWKHH
584,未知,2025/09,亞洲,CNSHK,TWKHH
1461,未知,2025/09,亞洲,CNSHK,TWKHH
106,未知,2025/09,亞洲,CNSWA,TWKHH
634,未知,2025/09,亞洲,CNTAC,TWKHH
3,未知,2025/09,亞洲,CNTAO,TWKHH
138,未知,2025/09,亞洲,CNTCA,TWKHH
308,未知,2025/09,亞洲,CNTXG,TWKHH
140,未知,2025/09,亞洲,CNWNZ,TWKHH
90,未知,2025/09,亞洲,CNXGG,TWKHH
3261,未知,2025/09,亞洲,CNXMN,TWKHH
4687,未知,2025/09,亞洲,HKHKG,TWKHH
480,未知,2025/09,亞洲,HKHKM,TWKHH
42,未知,2025/09,亞洲,JPHKT,TWKHH
67,未知,2025/09,亞洲,JPMOJ,TWKHH
24,未知,2025/09,亞洲,JPMYJ,TWKHH
6,未知,2025/09,亞洲,JPNGO,TWKHH
4,未知,2025/09,亞洲,JPOIT,TWKHH
2,未知,2025/09,亞洲,JPOSA,TWKHH
8,未知,2025/09,亞洲,JPSBS,TWKHH
49,未知,2025/09,亞洲,JPTKY,TWKHH
42,未知,2025/09,亞洲,JPUKB,TWKHH
2,未知,2025/09,亞洲,JPYAT,TWKHH
16,未知,2025/09,亞洲,JPYOK,TWKHH
27,未知,2025/09,亞洲,KRBNP,TWKHH
800,未知,2025/09,亞洲,KRICH,TWKHH
381,未知,2025/09,亞洲,KRINC,TWKHH
552,未知,2025/09,亞洲,KRPUS,TWKHH
14,未知,2025/09,亞洲,KRUSN,TWKHH
24,未知,2025/09,亞洲,MYPKG,TWKHH
150,未知,2025/09,亞洲,MYTPP,TWKHH
4,未知,2025/09,歐洲,NLRTM,TWKHH
220,未知,2025/09,大洋洲,NZLYT,TWKHH
94,未知,2025/09,大洋洲,NZNPE,TWKHH
218,未知,2025/09,大洋洲,NZTRG,TWKHH
4,未知,2025/09,亞洲,PHMNS,TWKHH
923,未知,2025/09,亞洲,SGSIN,TWKHH
266,未知,2025/09,亞洲,THLCB,TWKHH
491,未知,2025/09,亞洲,THLCH,TWKHH
30,未知,2025/09,北美洲,USORF,TWKHH
100,未知,2025/09,北美洲,USSEA,TWKHH
542,未知,2025/09,亞洲,VNCLI,TWKHH
543,未知,2025/09,亞洲,VNCLP,TWKHH
92,未知,2025/09,亞洲,VNDAD,TWKHH
334,未知,2025/09,亞洲,VNHPH,TWKHH
1998,未知,2025/09,亞洲,VNVUT,TWKHH
30,未知,2025/09,亞洲,JPOIT,TWKEL
2,未知,2025/09,亞洲,JPYAT,TWKEL
40,未知,2025/09,亞洲,KRPUS,TWKEL
200,未知,2025/09,南美洲,CLVAL,TWKHH
422,未知,2025/09,亞洲,CNDLI,TWKHH
2301,未知,2025/09,亞洲,CNFZU,TWKHH
5,未知,2025/09,亞洲,CNJIA,TWKHH
308,未知,2025/09,亞洲,CNQND,TWKHH
1954,未知,2025/09,亞洲,CNRZH,TWKHH
1865,未知,2025/09,亞洲,CNXGA,TWKHH
1512,未知,2025/09,亞洲,CNXHK,TWKHH
1170,未知,2025/09,亞洲,CNXSM,TWKHH
2591,未知,2025/09,亞洲,CNXTH,TWKHH
1524,未知,2025/09,亞洲,CNYJG,TWKHH
6588,未知,2025/09,亞洲,HKHKG,TWKHH
28,未知,2025/09,亞洲,IDDKT,TWKHH
