年月,港口別,總計,進港,出港
200211,高雄港,779201.75,392660.75,386541
200211,花蓮港,0,0,0
200211,臺北港,0,0,0
200211,蘇澳港,0,0,0
200211,安平港,306,154,152
200212,國際商港,1045084.75,533024.75,512060
200212,基隆港,171508.25,89728.75,81779.5
200212,臺中港,108283,54334,53949
200212,高雄港,765008.5,388834,376174.5
200212,花蓮港,0,0,0
200212,臺北港,0,0,0
200212,蘇澳港,0,0,0
200212,安平港,285,128,157
200301,國際商港,909225.5,456361.75,452863.75
200301,基隆港,160554,85286.75,75267.25
200301,臺中港,98054,47499,50555
200301,高雄港,650155.5,323419,326736.5
200301,花蓮港,0,0,0
200301,臺北港,0,0,0
200301,蘇澳港,0,0,0
200301,安平港,462,157,305
200302,國際商港,914252.75,468877.25,445375.5
200302,基隆港,128754.25,68218.25,60536
200302,臺中港,86017,41837,44180
200302,高雄港,699177.5,358647,340530.5
200302,花蓮港,0,0,0
200302,臺北港,0,0,0
200302,蘇澳港,0,0,0
200302,安平港,304,175,129
200303,國際商港,1062701,525351.25,537349.75
200303,基隆港,174986.25,89745.25,85241
200303,臺中港,109077.5,51329.5,57748
200303,高雄港,778216.25,384015.5,394200.75
200303,花蓮港,0,0,0
200303,臺北港,0,0,0
200303,蘇澳港,0,0,0
200303,安平港,421,261,160
200304,國際商港,1056592,528618.75,527973.25
200304,基隆港,168483.25,85964,82519.25
200304,臺中港,105492.5,52289.5,53203
200304,高雄港,782326.25,390218.25,392108
200304,花蓮港,0,0,0
200304,臺北港,0,0,0
200304,蘇澳港,0,0,0
200304,安平港,290,147,143
200305,國際商港,1010252.75,506445.75,503807
200305,基隆港,169200,85293.25,83906.75
200305,臺中港,105028,49989,55039
200305,高雄港,736024.75,371163.5,364861.25
200305,花蓮港,0,0,0
200305,臺北港,0,0,0
200305,蘇澳港,0,0,0
200305,安平港,0,0,0
200306,國際商港,968688,477867.25,490820.75
200306,基隆港,167686.5,84478.75,83207.75
200306,臺中港,100132.5,47416.5,52716
200306,高雄港,700522,345756,354766
200306,花蓮港,0,0,0
200306,臺北港,0,0,0
200306,蘇澳港,0,0,0
200306,安平港,347,216,131
200307,國際商港,1015172,509003.25,506168.75
200307,基隆港,168040.25,86554.5,81485.75
200307,臺中港,100775.5,48567,52208.5
200307,高雄港,745863.25,373691.75,372171.5
200307,花蓮港,0,0,0
200307,臺北港,0,0,0
200307,蘇澳港,0,0,0
200307,安平港,493,190,303
200308,國際商港,1041232.5,522429,518803.5
200308,基隆港,161341.75,81728.25,79613.5
200308,臺中港,101043,48478,52565
200308,高雄港,778556.75,392077.75,386479
200308,花蓮港,0,0,0
200308,臺北港,0,0,0
200308,蘇澳港,0,0,0
200308,安平港,291,145,146
200309,國際商港,973700,491431.25,482268.75
200309,基隆港,166410.5,87027,79383.5
200309,臺中港,105185,52188,52997
200309,高雄港,701691.5,351948.25,349743.25
200309,花蓮港,0,0,0
200309,臺北港,0,0,0
200309,蘇澳港,0,0,0
200309,安平港,413,268,145
200310,國際商港,1040447.5,516197,524250.5
200310,基隆港,179178.5,93226.25,85952.25
200310,臺中港,110371,51145,59226
200310,高雄港,750598,371658.75,378939.25
200310,花蓮港,0,0,0
200310,臺北港,0,0,0
200310,蘇澳港,0,0,0
200310,安平港,300,167,133
200311,國際商港,1027969,522379.25,505589.75
200311,基隆港,174205.75,92667,81538.75
200311,臺中港,105422,49349,56073
200311,高雄港,747642.25,380019.25,367623
200311,花蓮港,0,0,0
200311,臺北港,0,0,0
200311,蘇澳港,0,0,0
200311,安平港,699,344,355
200312,國際商港,1074519.75,543920.75,530599
200312,基隆港,181865.5,99686.5,82179
200312,臺中港,119429,57798,61631
200312,高雄港,772591.25,386129.25,386462
200312,花蓮港,0,0,0
200312,臺北港,0,0,0
200312,蘇澳港,0,0,0
200312,安平港,634,307,327
200401,國際商港,992600.75,510248.75,482352
200401,基隆港,151207,81875.25,69331.75
200401,臺中港,95826,46660,49166
200401,高雄港,744969.75,381448.5,363521.25
200401,花蓮港,0,0,0
200401,臺北港,0,0,0
200401,蘇澳港,0,0,0
200401,安平港,598,265,333
200402,國際商港,999256.75,493019.75,506237
200402,基隆港,157976.5,79110,78866.5
200402,臺中港,103292,47965,55327
200402,高雄港,737405.25,365642.75,371762.5
200402,花蓮港,0,0,0
200402,臺北港,0,0,0
200402,蘇澳港,0,0,0
200402,安平港,583,302,281
200403,國際商港,1116437.5,557983.25,558454.25
200403,基隆港,180574.75,93486.75,87088
200403,臺中港,108894,53294,55600
200403,高雄港,826429.75,410921.5,415508.25
200403,花蓮港,0,0,0
200403,臺北港,0,0,0
200403,蘇澳港,0,0,0
200403,安平港,539,281,258
200404,國際商港,1119367.75,567995.75,551372
200404,基隆港,180160,93822.5,86337.5
200404,臺中港,106731,49401,57330
200404,高雄港,831983.75,424518.25,407465.5
200404,花蓮港,0,0,0
200404,臺北港,0,0,0
200404,蘇澳港,0,0,0
200404,安平港,493,254,239
200405,國際商港,1134366.25,563456,570910.25
200405,基隆港,187085.5,96745.5,90340
200405,臺中港,106384,48853,57531
200405,高雄港,840696.75,417762.5,422934.25
200405,花蓮港,0,0,0
200405,臺北港,0,0,0
200405,蘇澳港,0,0,0
200405,安平港,200,95,105
200406,國際商港,1112153.25,555061,557092.25
200406,基隆港,181932.25,96381.25,85551
200406,臺中港,99400,47601,51799
200406,高雄港,830406,410858.75,419547.25
200406,花蓮港,0,0,0
200406,臺北港,0,0,0
200406,蘇澳港,0,0,0
200406,安平港,415,220,195
200407,國際商港,1116739,557757,558982
200407,基隆港,178172.5,92040,86132.5
200407,臺中港,108292,49224,59068
200407,高雄港,829880.5,416310,413570.5
200407,花蓮港,0,0,0
200407,臺北港,0,0,0
200407,蘇澳港,0,0,0
200407,安平港,394,183,211
200408,國際商港,1095549.75,544287.25,551262.5
200408,基隆港,162251.25,82365.75,79885.5
200408,臺中港,99419,47292,52127
200408,高雄港,833556.5,414481.5,419075
200408,花蓮港,0,0,0
200408,臺北港,0,0,0
200408,蘇澳港,0,0,0
200408,安平港,323,148,175
200409,國際商港,1080543,536392,544151
200409,基隆港,168189.25,85145,83044.25
200409,臺中港,104973.5,50374,54599.5
200409,高雄港,806884.25,400594,406290.25
200409,花蓮港,0,0,0
200409,臺北港,0,0,0
200409,蘇澳港,0,0,0
200409,安平港,496,279,217
200410,國際商港,1083365,541074.25,542290.75
200410,基隆港,175916.25,90564.25,85352
200410,臺中港,105552,48403,57149
200410,高雄港,801662.75,401996,399666.75
200410,花蓮港,0,0,0
200410,臺北港,0,0,0
200410,蘇澳港,0,0,0
200410,安平港,234,111,123
200411,國際商港,1093926,551558.5,542367.5
200411,基隆港,176444.25,93467.25,82977
200411,臺中港,104334,50736,53598
200411,高雄港,813147.75,407355.25,405792.5
200411,花蓮港,0,0,0
200411,臺北港,0,0,0
200411,蘇澳港,0,0,0
200411,安平港,0,0,0
200412,國際商港,1090056.75,565109.75,524947
200412,基隆港,170282.5,92532.5,77750
200412,臺中港,102088,50798,51290
200412,高雄港,817092.25,421436.25,395656
200412,花蓮港,0,0,0
200412,臺北港,0,0,0
200412,蘇澳港,0,0,0
200412,安平港,594,343,251
200501,國際商港,1059429.5,529856.75,529572.75
200501,基隆港,183444.75,95378,88066.75
200501,臺中港,102644,49173,53471
200501,高雄港,772670.75,384950.75,387720
200501,花蓮港,0,0,0
200501,臺北港,0,0,0
200501,蘇澳港,0,0,0
200501,安平港,670,355,315
200502,國際商港,891418.5,452295,439123.5
200502,基隆港,120651.25,62774.25,57877
200502,臺中港,86293,42945,43348
200502,高雄港,684086.25,346366.75,337719.5
200502,花蓮港,0,0,0
200502,臺北港,0,0,0
200502,蘇澳港,0,0,0
200502,安平港,388,209,179
200503,國際商港,1139344.25,572867.75,566476.5
200503,基隆港,177443.25,90799,86644.25
200503,臺中港,107997,50144,57853
200503,高雄港,853692,431844.75,421847.25
200503,花蓮港,0,0,0
200503,臺北港,0,0,0
200503,蘇澳港,0,0,0
200503,安平港,212,80,132
200504,國際商港,1080493,543211.5,537281.5
200504,基隆港,177870.75,90712.75,87158
200504,臺中港,103579,49840,53739
200504,高雄港,798523.25,402360.75,396162.5
200504,花蓮港,0,0,0
200504,臺北港,0,0,0
200504,蘇澳港,0,0,0
200504,安平港,520,298,222
