年月,港口別,總計,進港,出港
200904,國際商港,982027.5,497824,484203.5
200904,基隆港,129529.25,69728.75,59800.5
200904,臺中港,99237,47625,51612
200904,高雄港,727478.75,366447.25,361031.5
200904,花蓮港,0,0,0
200904,臺北港,25782.5,14023,11759.5
200904,蘇澳港,0,0,0
200904,安平港,0,0,0
200905,國際商港,991321.25,498733.75,492587.5
200905,基隆港,138500.75,72809,65691.75
200905,臺中港,97706,46855,50851
200905,高雄港,721141.5,364998.25,356143.25
200905,花蓮港,0,0,0
200905,臺北港,33973,14071.5,19901.5
200905,蘇澳港,0,0,0
200905,安平港,0,0,0
200906,國際商港,981078.25,489666,491412.25
200906,基隆港,131729.75,68694.25,63035.5
200906,臺中港,101502,50270,51232
200906,高雄港,711038.75,352366,358672.75
200906,花蓮港,0,0,0
200906,臺北港,36807.75,18335.75,18472
200906,蘇澳港,0,0,0
200906,安平港,0,0,0
200907,國際商港,1010849.75,500576.5,510273.25
200907,基隆港,133652.75,68550.75,65102
200907,臺中港,101720,50527,51193
200907,高雄港,730282.5,360219.5,370063
200907,花蓮港,0,0,0
200907,臺北港,45194.5,21279.25,23915.25
200907,蘇澳港,0,0,0
200907,安平港,0,0,0
200908,國際商港,1035946.5,516426.75,519519.75
200908,基隆港,135581,69484.25,66096.75
200908,臺中港,103401,49636,53765
200908,高雄港,758432.5,378917.5,379515
200908,花蓮港,0,0,0
200908,臺北港,38532,18389,20143
200908,蘇澳港,0,0,0
200908,安平港,0,0,0
200909,國際商港,1028659,512028.25,516630.75
200909,基隆港,134222.25,71937.25,62285
200909,臺中港,98587,49767,48820
200909,高雄港,755041.75,368947.25,386094.5
200909,花蓮港,0,0,0
200909,臺北港,40808,21376.75,19431.25
200909,蘇澳港,0,0,0
200909,安平港,0,0,0
200910,國際商港,1054315,528029.75,526285.25
200910,基隆港,136348.75,69155.75,67193
200910,臺中港,103024,50184,52840
200910,高雄港,775144.25,389165.25,385979
200910,花蓮港,0,0,0
200910,臺北港,39798,19524.75,20273.25
200910,蘇澳港,0,0,0
200910,安平港,0,0,0
200911,國際商港,1023757.75,512045,511712.75
200911,基隆港,139884.75,72496.25,67388.5
200911,臺中港,105440,51519,53921
200911,高雄港,743209.75,370213.75,372996
200911,花蓮港,0,0,0
200911,臺北港,35223.25,17816,17407.25
200911,蘇澳港,0,0,0
200911,安平港,0,0,0
200912,國際商港,1070087.5,540906.25,529181.25
200912,基隆港,147989,78796.25,69192.75
200912,臺中港,113171,56058,57113
200912,高雄港,770302,387201,383101
200912,花蓮港,0,0,0
200912,臺北港,38625.5,18851,19774.5
200912,蘇澳港,0,0,0
200912,安平港,0,0,0
201001,國際商港,1057823.5,520257.5,537566
201001,基隆港,144383,75157.5,69225.5
201001,臺中港,109899,52603,57296
201001,高雄港,765839.25,374463.5,391375.75
201001,花蓮港,0,0,0
201001,臺北港,37702.25,18033.5,19668.75
201001,蘇澳港,0,0,0
201001,安平港,0,0,0
201002,國際商港,835421.5,422936.5,412485
201002,基隆港,104604.5,55385.75,49218.75
201002,臺中港,78222,39485,38737
201002,高雄港,618895,311433.75,307461.25
201002,花蓮港,0,0,0
201002,臺北港,33700,16632,17068
201002,蘇澳港,0,0,0
201002,安平港,0,0,0
201003,國際商港,1085482.25,527892.25,557590
201003,基隆港,153020.25,77912,75108.25
201003,臺中港,114403,53467,60936
201003,高雄港,780649.25,379403.25,401246
201003,花蓮港,0,0,0
201003,臺北港,37409.75,17110,20299.75
201003,蘇澳港,0,0,0
201003,安平港,0,0,0
201004,國際商港,1096036.5,542323.75,553712.75
201004,基隆港,152165.25,75470.5,76694.75
201004,臺中港,113512,55538,57974
201004,高雄港,790819.25,391844.25,398975
201004,花蓮港,0,0,0
201004,臺北港,39540,19471,20069
201004,蘇澳港,0,0,0
201004,安平港,0,0,0
201005,國際商港,1123634.5,547769.25,575865.25
201005,基隆港,159619,79971.5,79647.5
201005,臺中港,119490,57248,62242
201005,高雄港,805130.25,393294.5,411835.75
201005,花蓮港,0,0,0
201005,臺北港,39395.25,17255.25,22140
201005,蘇澳港,0,0,0
201005,安平港,0,0,0
201006,國際商港,1083177.5,534555.75,548621.75
201006,基隆港,150545.75,79163.5,71382.25
201006,臺中港,109617,55827,53790
201006,高雄港,791334,386568.5,404765.5
201006,花蓮港,0,0,0
201006,臺北港,31680.75,12996.75,18684
201006,蘇澳港,0,0,0
201006,安平港,0,0,0
201007,國際商港,1072643.75,531986.25,540657.5
201007,基隆港,156322.25,80866.25,75456
201007,臺中港,117549,58659,58890
201007,高雄港,765153.5,377203.25,387950.25
201007,花蓮港,0,0,0
201007,臺北港,33619,15257.75,18361.25
201007,蘇澳港,0,0,0
201007,安平港,0,0,0
201008,國際商港,1072140.75,534918.5,537222.25
201008,基隆港,150761.75,80251,70510.75
201008,臺中港,120312,59111,61201
201008,高雄港,768460,380934.75,387525.25
201008,花蓮港,0,0,0
201008,臺北港,32607,14621.75,17985.25
201008,蘇澳港,0,0,0
201008,安平港,0,0,0
201009,國際商港,1031277.75,524045.75,507232
201009,基隆港,148376.25,78698,69678.25
201009,臺中港,110372,56263,54109
201009,高雄港,738958.5,374271.25,364687.25
201009,花蓮港,0,0,0
201009,臺北港,33571,14813.5,18757.5
201009,蘇澳港,0,0,0
201009,安平港,0,0,0
201010,國際商港,1030094.75,517413,512681.75
201010,基隆港,140093.75,71775,68318.75
201010,臺中港,121663,59200,62463
201010,高雄港,732516,369009.75,363506.25
201010,花蓮港,0,0,0
201010,臺北港,35822,17428.25,18393.75
201010,蘇澳港,0,0,0
201010,安平港,0,0,0
201011,國際商港,1103774,558978.75,544795.25
201011,基隆港,151885.5,81640.75,70244.75
201011,臺中港,116153,58379,57774
201011,高雄港,797312.25,401012.25,396300
201011,花蓮港,0,0,0
201011,臺北港,38423.25,17946.75,20476.5
201011,蘇澳港,0,0,0
201011,安平港,0,0,0
201012,國際商港,1145300,585905.25,559394.75
201012,基隆港,152122.5,82482.25,69640.25
201012,臺中港,125760,65370,60390
201012,高雄港,826143.25,417601.5,408541.75
201012,花蓮港,0,0,0
201012,臺北港,41274.25,20451.5,20822.75
201012,蘇澳港,0,0,0
201012,安平港,0,0,0
201101,國際商港,1098405.75,557902.25,540503.5
201101,基隆港,148839.5,77918,70921.5
201101,臺中港,117312,60193,57119
201101,高雄港,792302.25,399642.75,392659.5
201101,花蓮港,0,0,0
201101,臺北港,39952,20148.5,19803.5
201101,蘇澳港,0,0,0
201101,安平港,0,0,0
201102,國際商港,916425.25,450906.75,465518.5
201102,基隆港,107250.25,54087.75,53162.5
201102,臺中港,97603,45999,51604
201102,高雄港,677684.5,333338.25,344346.25
201102,花蓮港,0,0,0
201102,臺北港,33887.5,17481.75,16405.75
201102,蘇澳港,0,0,0
201102,安平港,0,0,0
201103,國際商港,1129484,562602.5,566881.5
201103,基隆港,154125.5,81456.25,72669.25
201103,臺中港,122270,61871,60399
201103,高雄港,808785.25,398280.75,410504.5
201103,花蓮港,0,0,0
201103,臺北港,44303.25,20994.5,23308.75
201103,蘇澳港,0,0,0
201103,安平港,0,0,0
201104,國際商港,1139135.75,582091.75,557044
201104,基隆港,157887.25,83327.5,74559.75
201104,臺中港,121811,61534,60277
201104,高雄港,815500.25,416695.75,398804.5
201104,花蓮港,0,0,0
201104,臺北港,43937.25,20534.5,23402.75
201104,蘇澳港,0,0,0
201104,安平港,0,0,0
201105,國際商港,1209299.25,600305.25,608994
201105,基隆港,152191.25,79286.25,72905
201105,臺中港,112802,55973,56829
201105,高雄港,901448,443755.75,457692.25
201105,花蓮港,0,0,0
201105,臺北港,42858,21290.25,21567.75
201105,蘇澳港,0,0,0
201105,安平港,0,0,0
201106,國際商港,1126107.5,560754.25,565353.25
201106,基隆港,153204.25,81239,71965.25
201106,臺中港,113383,57296,56087
201106,高雄港,794856,389919.5,404936.5
201106,花蓮港,0,0,0
201106,臺北港,64664.25,32299.75,32364.5
201106,蘇澳港,0,0,0
201106,安平港,0,0,0
201107,國際商港,1145758,567897.75,577860.25
201107,基隆港,154568.75,78529.75,76039
201107,臺中港,122382,59041,63341
201107,高雄港,802563.5,400281.75,402281.75
201107,花蓮港,0,0,0
201107,臺北港,66243.75,30045.25,36198.5
201107,蘇澳港,0,0,0
201107,安平港,0,0,0
201108,國際商港,1124891,560278.75,564612.25
201108,基隆港,145638.75,76612,69026.75
201108,臺中港,110118,54044,56074
201108,高雄港,803449.5,397621.25,405828.25
201108,花蓮港,0,0,0
201108,臺北港,65684.75,32001.5,33683.25
201108,蘇澳港,0,0,0
201108,安平港,0,0,0
201109,國際商港,1088942.5,549825.25,539117.25
201109,基隆港,143690.75,75310.25,68380.5
201109,臺中港,111604,56456,55148
201109,高雄港,767783,385531,382252
201109,花蓮港,0,0,0
201109,臺北港,65864.75,32528,33336.75
201109,蘇澳港,0,0,0
201109,安平港,0,0,0
201110,國際商港,1152852,584368.25,568483.75
201110,基隆港,146552.75,75842.75,70710
201110,臺中港,119504,57691,61813
201110,高雄港,828062.5,422233,405829.5
201110,花蓮港,0,0,0
201110,臺北港,58732.75,28601.5,30131.25
201110,蘇澳港,0,0,0
201110,安平港,0,0,0
201111,國際商港,1138270.5,573750,564520.5
201111,基隆港,144108.5,77025.5,67083
201111,臺中港,112274,55388,56886
201111,高雄港,813565.5,406849.5,406716
201111,花蓮港,0,0,0
201111,臺北港,68322.5,34487,33835.5
201111,蘇澳港,0,0,0
201111,安平港,0,0,0
201112,國際商港,1153075.5,586808.5,566267
201112,基隆港,141328.75,76293,65035.75
201112,臺中港,122515,60929,61586
201112,高雄港,830288.25,420105,410183.25
201112,花蓮港,0,0,0
201112,臺北港,58943.5,29481.5,29462
201112,蘇澳港,0,0,0
201112,安平港,0,0,0
201201,國際商港,1084205,557463.5,526741.5
201201,基隆港,119520.75,61568.5,57952.25
201201,臺中港,95702,51097,44605
201201,高雄港,804569.75,415069,389500.75
201201,花蓮港,0,0,0
201201,臺北港,64412.5,29729,34683.5
201201,蘇澳港,0,0,0
201201,安平港,0,0,0
201202,國際商港,1058039,513918.5,544120.5
201202,基隆港,116368.5,57110.75,59257.75
201202,臺中港,110360,50178,60182
201202,高雄港,760039.25,371634.5,388404.75
201202,花蓮港,0,0,0
201202,臺北港,71271.25,34995.25,36276
201202,蘇澳港,0,0,0
201202,安平港,0,0,0
201203,國際商港,1157399.25,571766,585633.25
201203,基隆港,131451.25,66996.75,64454.5
201203,臺中港,119647,57890,61757
201203,高雄港,823666.75,405838.75,417828
201203,花蓮港,0,0,0
201203,臺北港,82634.25,41040.5,41593.75
201203,蘇澳港,0,0,0
201203,安平港,0,0,0
201204,國際商港,1153762.75,570946.5,582816.25
201204,基隆港,134205,68299.75,65905.25
201204,臺中港,112926,57293,55633
201204,高雄港,814931.75,401782,413149.75
201204,花蓮港,0,0,0
201204,臺北港,91700,43571.75,48128.25
201204,蘇澳港,0,0,0
201204,安平港,0,0,0
201205,國際商港,1225392,611682.5,613709.5
201205,基隆港,142497,74794.25,67702.75
201205,臺中港,114153,56930,57223
201205,高雄港,866021.5,429098,436923.5
201205,花蓮港,0,0,0
201205,臺北港,102720.5,50860.25,51860.25
201205,蘇澳港,0,0,0
201205,安平港,0,0,0
201206,國際商港,1130700.5,567672.5,563028
201206,基隆港,133939.25,71219,62720.25
201206,臺中港,116107,58006,58101
201206,高雄港,787746.75,392664,395082.75
201206,花蓮港,0,0,0
201206,臺北港,92907.5,45783.5,47124
201206,蘇澳港,0,0,0
201206,安平港,0,0,0
201207,國際商港,1221635,610264.25,611370.75
201207,基隆港,147731,76400.75,71330.25
201207,臺中港,118810,58543,60267
201207,高雄港,849198.25,421950.25,427248
201207,花蓮港,0,0,0
201207,臺北港,105895.75,53370.25,52525.5
201207,蘇澳港,0,0,0
201207,安平港,0,0,0
201208,國際商港,1162315.5,581417.75,580897.75
201208,基隆港,130469.5,67441,63028.5
201208,臺中港,116388,60115,56273
201208,高雄港,811932,401615,410317
201208,花蓮港,0,0,0
201208,臺北港,103526,52246.75,51279.25
201208,蘇澳港,0,0,0
201208,安平港,0,0,0
201209,國際商港,1161787.25,586846.5,574940.75
201209,基隆港,135116.5,70525.75,64590.75
201209,臺中港,122905,60076,62829
201209,高雄港,811186,410921.25,400264.75
201209,花蓮港,0,0,0
201209,臺北港,92579.75,45323.5,47256.25
201209,蘇澳港,0,0,0
201209,安平港,0,0,0
201210,國際商港,1236221.5,615089.25,621132.25
201210,基隆港,142134.75,73328.75,68806
201210,臺中港,119824,58653,61171
201210,高雄港,875003.25,432673.5,442329.75
201210,花蓮港,0,0,0
201210,臺北港,99259.5,50434,48825.5
201210,蘇澳港,0,0,0
201210,安平港,0,0,0
201211,國際商港,1127067.75,568017.75,559050
201211,基隆港,134585,71316.5,63268.5
201211,臺中港,118742,57559,61183
201211,高雄港,780939.75,393485.25,387454.5
201211,花蓮港,0,0,0
201211,臺北港,92801,45657,47144
201211,蘇澳港,0,0,0
201211,安平港,0,0,0
201212,國際商港,1162830.75,586059.5,576771.25
201212,基隆港,139547.5,72881,66666.5
201212,臺中港,129841,63441,66400
201212,高雄港,795986,399952.25,396033.75
201212,花蓮港,0,0,0
201212,臺北港,97456.25,49785.25,47671
201212,蘇澳港,0,0,0
201212,安平港,0,0,0
201301,國際商港,1212405,605274.5,607130.5
201301,基隆港,136999,72093.75,64905.25
201301,臺中港,124656,62851,61805
201301,高雄港,847323.25,419916.75,427406.5
201301,花蓮港,0,0,0
201301,臺北港,103426.75,50413,53013.75
201301,蘇澳港,0,0,0
201301,安平港,0,0,0
201302,國際商港,944748.5,486637.25,458111.25
201302,基隆港,89753.25,47448.25,42305
201302,臺中港,91725,47366,44359
201302,高雄港,681878.25,350421,331457.25
201302,花蓮港,0,0,0
201302,臺北港,81392,41402,39990
201302,蘇澳港,0,0,0
201302,安平港,0,0,0
201303,國際商港,1220833.75,608801,612032.75
201303,基隆港,135738.5,70293.5,65445
201303,臺中港,136132,67818,68314
201303,高雄港,857142,427227.5,429914.5
201303,花蓮港,0,0,0
201303,臺北港,91821.25,43462,48359.25
201303,蘇澳港,0,0,0
201303,安平港,0,0,0
201304,國際商港,1172286,588492,583794
201304,基隆港,127453.25,66462.25,60991
201304,臺中港,119292,58961,60331
201304,高雄港,828098.75,414092,414006.75
201304,花蓮港,0,0,0
201304,臺北港,97442,48976.75,48465.25
201304,蘇澳港,0,0,0
201304,安平港,0,0,0
201305,國際商港,1214929,600766.5,614162.5
201305,基隆港,137052,69362.75,67689.25
201305,臺中港,129711,63785,65926
201305,高雄港,857783,422550,435233
201305,花蓮港,0,0,0
201305,臺北港,90383,45068.75,45314.25
201305,蘇澳港,0,0,0
201305,安平港,0,0,0
201306,國際商港,1119576.5,557007.5,562569
201306,基隆港,137816.5,72592.75,65223.75
201306,臺中港,120600,56709,63891
201306,高雄港,783345,389065.5,394279.5
201306,花蓮港,0,0,0
201306,臺北港,77815,38640.25,39174.75
201306,蘇澳港,0,0,0
201306,安平港,0,0,0
201307,國際商港,1201740.75,602970.25,598770.5
201307,基隆港,143473.5,75445.25,68028.25
201307,臺中港,124473,61464,63009
201307,高雄港,850240.25,425317,424923.25
201307,花蓮港,0,0,0
201307,臺北港,83554,40744,42810
201307,蘇澳港,0,0,0
201307,安平港,0,0,0
201308,國際商港,1168142.75,588419,579723.75
201308,基隆港,139876,73956,65920
201308,臺中港,123985,61139,62846
201308,高雄港,827730.25,416132.75,411597.5
201308,花蓮港,0,0,0
201308,臺北港,76551.5,37191.25,39360.25
201308,蘇澳港,0,0,0
201308,安平港,0,0,0
201309,國際商港,1159085.25,589746.5,569338.75
201309,基隆港,136439,72719,63720
201309,臺中港,118606,58360,60246
201309,高雄港,830665.5,421544,409121.5
201309,花蓮港,0,0,0
201309,臺北港,73374.75,37123.5,36251.25
201309,蘇澳港,0,0,0
201309,安平港,0,0,0
201310,國際商港,1194284.25,597573,596711.25
201310,基隆港,137995.75,72629,65366.75
201310,臺中港,122596,59547,63049
201310,高雄港,855419,427410.25,428008.75
201310,花蓮港,0,0,0
201310,臺北港,78273.5,37986.75,40286.75
201310,蘇澳港,0,0,0
201310,安平港,0,0,0
201311,國際商港,1188511.75,604093.75,584418
201311,基隆港,139452,74982,64470
201311,臺中港,127972,61765,66207
201311,高雄港,835303,425684.25,409618.75
201311,花蓮港,0,0,0
201311,臺北港,85784.75,41662.5,44122.25
201311,蘇澳港,0,0,0
201311,安平港,0,0,0
201312,國際商港,1250324.5,632512.75,617811.75
201312,基隆港,150617,79679.25,70937.75
201312,臺中港,127857,63458,64399
201312,高雄港,882790.75,443022.25,439768.5
201312,花蓮港,0,0,0
201312,臺北港,89059.75,46353.25,42706.5
201312,蘇澳港,0,0,0
201312,安平港,0,0,0
201401,國際商港,1238833.75,617935,620898.75
201401,基隆港,149352.5,78772.25,70580.25
201401,臺中港,117485,61624,55861
201401,高雄港,871996.25,430398.25,441598
201401,花蓮港,0,0,0
201401,臺北港,100000,47140.5,52859.5
201401,蘇澳港,0,0,0
201401,安平港,0,0,0
201402,國際商港,1021844.75,513975.25,507869.5
201402,基隆港,103633.75,52064.75,51569
201402,臺中港,105043,51673,53370
201402,高雄港,748839,377945.25,370893.75
201402,花蓮港,0,0,0
201402,臺北港,64329,32292.25,32036.75
201402,蘇澳港,0,0,0
201402,安平港,0,0,0
201403,國際商港,1220946.75,607628.25,613318.5
201403,基隆港,139270.5,73028.75,66241.75
201403,臺中港,128347,60494,67853
201403,高雄港,863852,427466,436386
201403,花蓮港,0,0,0
201403,臺北港,89477.25,46639.5,42837.75
201403,蘇澳港,0,0,0
201403,安平港,0,0,0
201404,國際商港,1250664.5,627357.5,623307
201404,基隆港,135123.5,71781.25,63342.25
201404,臺中港,123892,60223,63669
201404,高雄港,867520.5,431777,435743.5
201404,花蓮港,0,0,0
201404,臺北港,124128.5,63576.25,60552.25
201404,蘇澳港,0,0,0
201404,安平港,0,0,0
201405,國際商港,1284914.25,638342.75,646571.5
201405,基隆港,147368.25,79048.25,68320
201405,臺中港,127089,61528,65561
201405,高雄港,876766.25,435550,441216.25
201405,花蓮港,0,0,0
201405,臺北港,133690.75,62216.5,71474.25
201405,蘇澳港,0,0,0
201405,安平港,0,0,0
201406,國際商港,1299281,655591,643690
201406,基隆港,150472.25,80334.25,70138
201406,臺中港,133350,65826,67524
201406,高雄港,914056,461350.75,452705.25
201406,花蓮港,0,0,0
201406,臺北港,101402.75,48080,53322.75
201406,蘇澳港,0,0,0
201406,安平港,0,0,0
201407,國際商港,1275059.25,635773,639286.25
201407,基隆港,149954.75,79619.5,70335.25
201407,臺中港,135627,67198,68429
201407,高雄港,886236.25,437663.75,448572.5
201407,花蓮港,0,0,0
201407,臺北港,103241.25,51291.75,51949.5
201407,蘇澳港,0,0,0
201407,安平港,0,0,0
201408,國際商港,1276748.25,628284.75,648463.5
201408,基隆港,145501.5,75767.5,69734
201408,臺中港,139120,64545,74575
201408,高雄港,882151.5,436266.75,445884.75
201408,花蓮港,0,0,0
201408,臺北港,109975.25,51705.5,58269.75
201408,蘇澳港,0,0,0
201408,安平港,0,0,0
201409,國際商港,1254575,642909,611666
201409,基隆港,141074,72919.25,68154.75
201409,臺中港,119805,61625,58180
201409,高雄港,883233.75,452624,430609.75
201409,花蓮港,0,0,0
201409,臺北港,110462.25,55740.75,54721.5
201409,蘇澳港,0,0,0
201409,安平港,0,0,0
201410,國際商港,1318629.5,656771,661858.5
201410,基隆港,139741.25,74028.5,65712.75
201410,臺中港,123575,59411,64164
201410,高雄港,946315,469007,477308
201410,花蓮港,0,0,0
201410,臺北港,108998.25,54324.5,54673.75
201410,蘇澳港,0,0,0
201410,安平港,0,0,0
201411,國際商港,1288180.25,646838.75,641341.5
201411,基隆港,142583.5,74964.25,67619.25
201411,臺中港,130926,62144,68782
201411,高雄港,909587.75,455072.25,454515.5
201411,花蓮港,0,0,0
201411,臺北港,105083,54658.25,50424.75
201411,蘇澳港,0,0,0
201411,安平港,0,0,0
201412,國際商港,1320837,665677,655160
201412,基隆港,141106.75,75778.25,65328.5
201412,臺中港,129500,64932,64568
201412,高雄港,942781,469214.25,473566.75
201412,花蓮港,0,0,0
201412,臺北港,107449.25,55752.5,51696.75
201412,蘇澳港,0,0,0
201412,安平港,0,0,0
201501,國際商港,1235579.25,615647.75,619931.5
201501,基隆港,140035.75,72972.5,67063.25
201501,臺中港,136022,64538,71484
201501,高雄港,851486.75,427493,423993.75
201501,花蓮港,0,0,0
201501,臺北港,108034.75,50644.25,57390.5
201501,蘇澳港,0,0,0
201501,安平港,0,0,0
201502,國際商港,1020898.5,518289.75,502608.75
201502,基隆港,103140.5,53034.75,50105.75
201502,臺中港,103210,53849,49361
201502,高雄港,728037.5,367430.25,360607.25
201502,花蓮港,0,0,0
201502,臺北港,86510.5,43975.75,42534.75
201502,蘇澳港,0,0,0
201502,安平港,0,0,0
201503,國際商港,1283173.5,644510,638663.5
201503,基隆港,116972,61510.75,55461.25
201503,臺中港,130823,62514,68309
201503,高雄港,918749,461439.75,457309.25
201503,花蓮港,0,0,0
201503,臺北港,116629.5,59045.5,57584
201503,蘇澳港,0,0,0
201503,安平港,0,0,0
201504,國際商港,1253738,628220.5,625517.5
201504,基隆港,119676.25,64314.75,55361.5
201504,臺中港,126509,63138,63371
201504,高雄港,884348.5,437453.5,446895
201504,花蓮港,0,0,0
201504,臺北港,123204.25,63314.25,59890
201504,蘇澳港,0,0,0
201504,安平港,0,0,0
201505,國際商港,1276761.5,632851,643910.5
201505,基隆港,130793.5,67375.75,63417.75
201505,臺中港,129483,63748,65735
201505,高雄港,886195.5,437921,448274.5
201505,花蓮港,0,0,0
201505,臺北港,130289.5,63806.25,66483.25
201505,蘇澳港,0,0,0
201505,安平港,0,0,0
201506,國際商港,1196095.25,596067.25,600028
201506,基隆港,118029.5,61858,56171.5
201506,臺中港,122289,60704,61585
201506,高雄港,841318.25,415833.25,425485
201506,花蓮港,0,0,0
201506,臺北港,114458.5,57672,56786.5
201506,蘇澳港,0,0,0
201506,安平港,0,0,0
201507,國際商港,1216682.5,604640.5,612042
201507,基隆港,122769.5,63998.75,58770.75
201507,臺中港,121274,59782,61492
201507,高雄港,853249,422560,430689
201507,花蓮港,0,0,0
201507,臺北港,119390,58299.75,61090.25
201507,蘇澳港,0,0,0
201507,安平港,0,0,0
201508,國際商港,1202740,605257.5,597482.5
201508,基隆港,119114,60823,58291
201508,臺中港,114865,54975,59890
201508,高雄港,865886.5,435477.75,430408.75
201508,花蓮港,0,0,0
201508,臺北港,102874.5,53981.75,48892.75
201508,蘇澳港,0,0,0
201508,安平港,0,0,0
201509,國際商港,1167061.5,584928.75,582132.75
201509,基隆港,112251.5,60295,51956.5
201509,臺中港,106063,51817,54246
201509,高雄港,840149.5,416414,423735.5
201509,花蓮港,0,0,0
201509,臺北港,108597.5,56402.75,52194.75
201509,蘇澳港,0,0,0
201509,安平港,0,0,0
201510,國際商港,1207070.25,605152,601918.25
201510,基隆港,122046.75,63548.5,58498.25
201510,臺中港,120022,56084,63938
201510,高雄港,867698.5,437267.5,430431
201510,花蓮港,0,0,0
201510,臺北港,97303,48252,49051
201510,蘇澳港,0,0,0
201510,安平港,0,0,0
201511,國際商港,1200475.5,607740.5,592735
201511,基隆港,117094,61143.75,55950.25
201511,臺中港,117823,57164,60659
201511,高雄港,852933,430251.75,422681.25
201511,花蓮港,0,0,0
201511,臺北港,112625.5,59181,53444.5
201511,蘇澳港,0,0,0
201511,安平港,0,0,0
201512,國際商港,1231378,620795.5,610582.5
201512,基隆港,123414,67986.75,55427.25
201512,臺中港,119007,58443,60564
201512,高雄港,874368.25,437623.5,436744.75
201512,花蓮港,0,0,0
201512,臺北港,114588.75,56742.25,57846.5
201512,蘇澳港,0,0,0
201512,安平港,0,0,0
201601,國際商港,1199077.5,601909,597168.5
201601,基隆港,117155.5,63941.75,53213.75
201601,臺中港,125775,63155,62620
201601,高雄港,842804,419110.5,423693.5
201601,花蓮港,0,0,0
201601,臺北港,113343,55701.75,57641.25
201601,蘇澳港,0,0,0
201601,安平港,0,0,0
201602,國際商港,995137,504130,491007
201602,基隆港,83805.25,45249,38556.25
201602,臺中港,91268,42907,48361
201602,高雄港,715425.75,361539.75,353886
201602,花蓮港,0,0,0
201602,臺北港,104577,54434.25,50142.75
201602,蘇澳港,0,0,0
201602,安平港,61,0,61
201603,國際商港,1244206.5,615996.75,628209.75
201603,基隆港,118945.5,65102.75,53842.75
201603,臺中港,129832,61451,68381
201603,高雄港,872839.5,428404,444435.5
201603,花蓮港,0,0,0
201603,臺北港,122343.5,61039,61304.5
201603,蘇澳港,0,0,0
201603,安平港,246,0,246
201604,國際商港,1273833.5,633865.5,639968
201604,基隆港,121520.5,66594.5,54926
201604,臺中港,132154,62780,69374
201604,高雄港,884486.5,441514,442972.5
201604,花蓮港,0,0,0
201604,臺北港,135473.5,62977,72496.5
201604,蘇澳港,0,0,0
201604,安平港,199,0,199
201605,國際商港,1264248.75,640213,624035.75
201605,基隆港,122070.75,67709.75,54361
201605,臺中港,127248,61554,65694
201605,高雄港,898491.75,451742.75,446749
201605,花蓮港,0,0,0
201605,臺北港,116275.25,59206.5,57068.75
201605,蘇澳港,0,0,0
201605,安平港,163,0,163
201606,國際商港,1251339.25,628684.25,622655
201606,基隆港,121442.5,66151.75,55290.75
201606,臺中港,125558,61850,63708
201606,高雄港,887245,443866.25,443378.75
201606,花蓮港,0,0,0
201606,臺北港,117025.75,56816.25,60209.5
201606,蘇澳港,0,0,0
201606,安平港,68,0,68
201607,國際商港,1255789.5,617873.25,637916.25
201607,基隆港,117192,61504.25,55687.75
201607,臺中港,132561,61888,70673
201607,高雄港,885132.5,438970.75,446161.75
201607,花蓮港,0,0,0
201607,臺北港,120865,55510.25,65354.75
201607,蘇澳港,0,0,0
201607,安平港,39,0,39
201608,國際商港,1263205.5,625528,637677.5
201608,基隆港,119021,63969.5,55051.5
201608,臺中港,130561,62930,67631
201608,高雄港,890064.5,438023,452041.5
201608,花蓮港,0,0,0
201608,臺北港,123501,60605.5,62895.5
201608,蘇澳港,0,0,0
201608,安平港,58,0,58
201609,國際商港,1153756.5,587618.25,566138.25
201609,基隆港,99367,55955,43412
201609,臺中港,116205,56514,59691
201609,高雄港,803060.75,409240.5,393820.25
201609,花蓮港,0,0,0
201609,臺北港,135123.75,65908.75,69215
201609,蘇澳港,0,0,0
201609,安平港,0,0,0
201610,國際商港,1320316.75,663128,657188.75
201610,基隆港,113840.5,60300.75,53539.75
201610,臺中港,143039,68237,74802
201610,高雄港,929778,470225,459553
201610,花蓮港,0,0,0
201610,臺北港,133659.25,64365.25,69294
201610,蘇澳港,0,0,0
201610,安平港,0,0,0
201611,國際商港,1299579,649041.75,650537.25
201611,基隆港,122132,65866.75,56265.25
201611,臺中港,136273,66249,70024
201611,高雄港,918235,457123,461112
201611,花蓮港,0,0,0
201611,臺北港,122939,59803,63136
201611,蘇澳港,0,0,0
201611,安平港,0,0,0
201612,國際商港,1345650.25,674971.5,670678.75
201612,基隆港,131612.25,69974,61638.25
201612,臺中港,144537,70431,74106
201612,高雄港,937296.75,469552.5,467744.25
201612,花蓮港,0,0,0
201612,臺北港,132204.25,65014,67190.25
201612,蘇澳港,0,0,0
201612,安平港,0,0,0
201701,國際商港,1268892.75,638233.5,630659.25
201701,基隆港,111158.5,57686,53472.5
201701,臺中港,135848,68503,67345
201701,高雄港,887854,444345.25,443508.75
201701,花蓮港,0,0,0
201701,臺北港,134032.25,67699.25,66333
201701,蘇澳港,0,0,0
201701,安平港,0,0,0
201702,國際商港,1130224.75,554864.5,575360.25
201702,基隆港,95547,50515.75,45031.25
201702,臺中港,117777,54935,62842
201702,高雄港,792942.25,389501.75,403440.5
201702,花蓮港,0,0,0
