origin_ym,target_ym,port,history_n,pressure_index,positive_net_streak,empty_net,roll3_empty_net,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,forecast_score_baseline_pressure_index,forecast_score_pressure_index_streak_boost,rank_within_latest_baseline_pressure_index,rank_within_latest_pressure_index_streak_boost,selected_model,selected_score,selected_rank,forecast_priority,forecast_note
202512,202601,臺北港,12,0.669090909090909,2,3800,2467.3333333333335,0.06010826892560676,0.02557798677685394,0.01660774194055025,0.669090909090909,0.7690909090909089,1,1,pressure_index_streak_boost,0.7690909090909089,1,高預警,目前分數最高，建議優先觀察。
202512,202601,臺中港,12,0.29454545454545455,12,2933,4123.333333333333,0.08827552457771261,0.01993471770760941,0.02802505489750294,0.29454545454545455,0.5945454545454546,2,2,pressure_index_streak_boost,0.5945454545454546,2,觀察,次高分，且連續堆積尚未中斷。
202512,202601,高雄港,12,0.07454545454545454,12,1977,7682.666666666666,0.07919294729844437,0.0025445636498078,0.00988823183287309,0.07454545454545454,0.37454545454545457,3,3,pressure_index_streak_boost,0.37454545454545457,3,低優先,目前排序較後，可維持一般監測。
202512,202601,基隆港,12,0,0,-25087,-24800.666666666668,0.0087211993020298,0,0,0,0,4,4,pressure_index_streak_boost,0,4,低優先,目前排序較後，可維持一般監測。
