ym,ds,port,full_container_count,empty_container_count,total_container_count,full_container_teu_est,empty_container_teu_est,total_container_teu_est,out_teu,total_teu,in_teu,empty_share_count,full_share_count,empty_share_teu_est,full_share_teu_est,direction_balance_teu,direction_balance_rate
202309,2023-09-01,基隆港,60518,19365,79883,95651.75,32558.75,128210.5,NA,NA,NA,0.2424170349135611,0.757582965086439,0.25394760959515794,0.7460523904048421,NA,NA
202310,2023-10-01,基隆港,59900,19196,79096,94451.5,32149.75,126601.25,NA,NA,NA,0.2426924243956711,0.7573075756043289,0.2539449649983709,0.7460550350016292,NA,NA
202311,2023-11-01,基隆港,63110,20242,83352,99433.5,33848.75,133282.25,NA,NA,NA,0.24284960168922162,0.7571503983107783,0.2539629245454665,0.7460370754545336,NA,NA
202312,2023-12-01,基隆港,65571,22027,87598,103588.75,37141.75,140730.5,NA,NA,NA,0.251455512682938,0.748544487317062,0.263921111628254,0.736078888371746,NA,NA
202401,2024-01-01,基隆港,67386,22220,89606,106945.5,38508,145453.5,70324,145454,75130,0.24797446599558065,0.7520255340044193,0.26474440285039547,0.7352555971496045,4806,0.03304137390515215
202402,2024-02-01,基隆港,44253,15520,59773,70106.5,25101.5,95208,48535,95208,46673,0.2596490054037776,0.7403509945962223,0.2636490631039409,0.7363509368960591,-1862,-0.019557180068901774
202403,2024-03-01,基隆港,65236,19081,84317,101824.75,32526,134350.75,63951,134351,70400,0.2263007459942835,0.7736992540057165,0.2420976436677875,0.7579023563322125,6449,0.04800113136485772
202404,2024-04-01,基隆港,65710,21404,87114,103445.25,35660.25,139105.5,65008,139106,74098,0.24570103542484562,0.7542989645751544,0.2563539903167021,0.743646009683298,9090,0.06534585136514601
202405,2024-05-01,基隆港,66534,24766,91300,105136.5,40753.25,145889.75,72037,145890,73853,0.2712595837897043,0.7287404162102957,0.27934279138870277,0.7206572086112972,1816,0.012447734594557544
202406,2024-06-01,基隆港,66605,24976,91581,104880.5,41855.75,146736.25,71233,146736,75503,0.27272032408469005,0.72727967591531,0.2852447844346574,0.7147552155653426,4270,0.02909988005670047
202407,2024-07-01,基隆港,62912,23284,86196,99294.75,38502,137796.75,66164,137797,71633,0.27012854424799293,0.7298714557520071,0.27941152458240126,0.7205884754175987,5469,0.03968881760851107
202408,2024-08-01,基隆港,69647,23668,93315,110445.75,38886.25,149332,71302,149332,78030,0.2536355355516262,0.7463644644483738,0.26040132054750487,0.7395986794524951,6728,0.04505397369619372
202409,2024-09-01,基隆港,61796,21260,83056,97654.25,35823.25,133477.5,65195,133478,68283,0.2559718743979965,0.7440281256020035,0.2683841846004008,0.7316158153995992,3088,0.023134898634981044
202410,2024-10-01,基隆港,59119,18652,77771,93919.5,30932.5,124852,56672,124852,68180,0.23983232824574713,0.7601676717542528,0.24775333995450613,0.7522466600454939,11508,0.09217313298945952
202411,2024-11-01,基隆港,66979,22992,89971,105665.5,39243.75,144909.25,69531,144909,75379,0.2555490102366318,0.7444509897633682,0.2708160452145049,0.729183954785495,5848,0.04035636157864591
202412,2024-12-01,基隆港,69836,24942,94778,110413,42374,152787,72624,152787,80163,0.2631623372512608,0.7368376627487392,0.27734034963707643,0.7226596503629236,7539,0.049343203283001826
202501,2025-01-01,基隆港,56424,23417,79841,89892.5,38921.25,128813.75,63113,128814,65701,0.2932954246565048,0.7067045753434952,0.3021513619469971,0.6978486380530029,2588,0.020090983899265606
202502,2025-02-01,基隆港,49407,15765,65172,77957,27035.75,104992.75,50550,104993,54443,0.24189836125943656,0.7581016387405635,0.2575011131721,0.7424988868279,3893,0.03707866238701628
202503,2025-03-01,基隆港,62850,22701,85551,98550,37531.75,136081.75,62903,136082,73179,0.26535049268857175,0.7346495073114283,0.2758029640271381,0.7241970359728619,10276,0.07551329345541659
202504,2025-04-01,基隆港,63428,23368,86796,100156.25,38872.5,139028.75,64979,139029,74050,0.2692289967279598,0.7307710032720401,0.27960044235454895,0.720399557645451,9071,0.06524538046019177
202505,2025-05-01,基隆港,62443,24789,87232,99014,42241.5,141255.5,67617,141256,73639,0.2841732391782832,0.7158267608217168,0.2990432230957379,0.7009567769042622,6022,0.042631817409525964
202506,2025-06-01,基隆港,61434,23996,85430,97115.75,39653.75,136769.5,64614,136770,72156,0.2808849350345312,0.7191150649654688,0.2899312346685482,0.7100687653314518,7542,0.05514367185786356
202507,2025-07-01,基隆港,61794,23158,84952,97299.75,38647,135946.75,63106,135947,72841,0.2726009982107543,0.7273990017892457,0.28428042597561176,0.7157195740243882,9735,0.07160878871913319
202508,2025-08-01,基隆港,63653,23045,86698,101232.75,37879.25,139112,64861,139112,74252,0.26580774643013677,0.7341922535698632,0.2722931882224395,0.7277068117775606,9391,0.06750675714532176
202509,2025-09-01,基隆港,60158,23806,83964,95507.75,39485.75,134993.5,63510,134994,71484,0.28352627316468965,0.7164737268353104,0.29250112042431675,0.7074988795756832,7974,0.05906929196853194
202510,2025-10-01,基隆港,57903,18782,76685,92705.5,31424.25,124129.75,55940,124130,68190,0.24492403990350134,0.7550759600964987,0.25315647538160674,0.7468435246183932,12250,0.098686860549424
202511,2025-11-01,基隆港,63174,21831,85005,99770.75,36817.5,136588.25,62319,136588,74269,0.2568201870478207,0.7431798129521793,0.2695510045703053,0.7304489954296948,11950,0.087489384133306
202512,2025-12-01,基隆港,65764,24732,90496,104634.25,41217.25,145851.5,66893,145852,78959,0.27329384724186706,0.726706152758133,0.28259736787074524,0.7174026321292547,12066,0.08272769656912486
202601,2026-01-01,基隆港,64364,26322,90686,103341.75,42946.75,146288.5,69056,146289,77233,0.2902542840129678,0.7097457159870322,0.29357570827508656,0.7064242917249134,8177,0.05589620545632276
202602,2026-02-01,基隆港,47181,18967,66148,75305.75,32070.5,107376.25,52651,107376,54726,0.2867358045594727,0.7132641954405273,0.2986740550168217,0.7013259449831784,2075,0.019324616301594398
202603,2026-03-01,基隆港,63521,19255,82776,100621,31699.5,132320.5,60342,132321,71978,0.2326157340291872,0.7673842659708128,0.23956605363492428,0.7604339463650757,11636,0.08793766673468308
202604,2026-04-01,基隆港,63463,23698,87161,100956.75,39314.75,140271.5,64458,140272,75814,0.27188765617650096,0.7281123438234991,0.2802761074059948,0.7197238925940052,11356,0.08095699783278203
202101,2021-01-01,安平港,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
202102,2021-02-01,安平港,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
202103,2021-03-01,安平港,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
202104,2021-04-01,安平港,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
202105,2021-05-01,安平港,7,0,7,7,0,7,NA,NA,NA,0,1,0,1,NA,NA
202106,2021-06-01,安平港,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
202107,2021-07-01,安平港,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
202108,2021-08-01,安平港,18,0,18,36,0,36,NA,NA,NA,0,1,0,1,NA,NA
202109,2021-09-01,安平港,18,0,18,36,0,36,NA,NA,NA,0,1,0,1,NA,NA
202110,2021-10-01,安平港,4,0,4,8,0,8,NA,NA,NA,0,1,0,1,NA,NA
202111,2021-11-01,安平港,32,0,32,64,0,64,NA,NA,NA,0,1,0,1,NA,NA
202112,2021-12-01,安平港,112,8,120,214,16,230,NA,NA,NA,0.06666666666666667,0.9333333333333333,0.06956521739130435,0.9304347826086956,NA,NA
202201,2022-01-01,安平港,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
202202,2022-02-01,安平港,59,25,84,98,50,148,NA,NA,NA,0.2976190476190476,0.7023809523809523,0.33783783783783783,0.6621621621621622,NA,NA
202203,2022-03-01,安平港,163,18,181,229,18,247,NA,NA,NA,0.09944751381215469,0.9005524861878453,0.0728744939271255,0.9271255060728745,NA,NA
202204,2022-04-01,安平港,33,10,43,66,20,86,NA,NA,NA,0.23255813953488372,0.7674418604651163,0.23255813953488372,0.7674418604651163,NA,NA
202205,2022-05-01,安平港,89,11,100,139,20,159,NA,NA,NA,0.11,0.89,0.12578616352201258,0.8742138364779874,NA,NA
202206,2022-06-01,安平港,29,39,68,58,39,97,NA,NA,NA,0.5735294117647058,0.4264705882352941,0.4020618556701031,0.5979381443298969,NA,NA
202207,2022-07-01,安平港,74,27,101,102,53,155,NA,NA,NA,0.26732673267326734,0.7326732673267327,0.3419354838709677,0.6580645161290323,NA,NA
